,SNOW,PLTR,PTON,NET,COIN,DASH,DDOG,ABNB,RBLX,XPEV,TXG,LI,U,RPRX,BILL,DT,BEKE,XP,PPD,BBIO,NVST,OSH,LU,CHNG,LSPD,ZI,CPNG,VRM,ASAN,WISH,ADPT,AZEK,LMND,GFL,PGNY,DNB,BMBL,CVAC,ACI,NCNO,KC,RKT,API,XM,SQSP,GDRX,OZON,OTLY,AGL,PLTK,PATH,SHC,AFRM,APP,REYN,WOOF,DADA,UPST,TSP,OCFT,MNSO,AI,RLX,TUYA,HAYW,PCOR,CD,YSG,EDR,CRCT,ABCL,DV,Cash/Other,DIDI,HOOD,n/a,MRNA,UBER,ZM,CRWD,PINS,BNTX,AVTR,LYFT,FTCH,GH,ESTC,PLAN,STNE,TW,YETI,BYND,FVRR,CHWY,BEAM,MRVI,TME,FOUR,S,LEVI,GLBE,RYAN,DLO,BZ,CFLT,MCFE,MNDY,YMM,MQ,CNM,LZ,PYCR,BHG,COMP,LSPD.TO,GFL.TO,RIVN,BSY,HTZ,SPT,DOCN,GFS,AMPL,DOCS,OLPX,ONON,INFA,ZIM,TWKS,LEGN,FRSH,GTLB,BRZE,NU,ALGM,HCP,SUM
07/09/2021,9.58,7.46,6.04,4.99,4.98,4.54,4.48,4.32,3.32,3.14,3.02,2.93,2.87,2.55,2.53,2.05,1.79,1.46,1.36,1.32,1.31,1.16,1.07,1.04,0.96,0.93,0.91,0.89,0.87,0.81,0.8,0.79,0.71,0.7,0.69,0.63,0.58,0.56,0.54,0.53,0.49,0.48,0.44,0.42,0.41,0.4,0.39,0.36,0.33,0.33,0.33,0.33,0.32,0.31,0.3,0.3,0.28,0.28,0.28,0.26,0.24,0.21,0.2,0.19,0.17,0.15,0.11,0.11,0.1,0.09,0.09,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,10.19,6.94,6.06,5.06,5.2,4.57,4.49,4.19,3.2,3.16,2.91,2.69,2.86,2.49,2.62,2.06,1.67,1.44,1.36,1.26,1.27,1.14,0.92,1.03,0.95,0.94,0.89,0.87,0.9,0.78,0.76,0.78,0.68,0.69,0.7,0.63,0.54,0.58,0.56,0.55,0.47,0.48,0.41,0.4,0.4,0.4,0.38,0.37,0.33,0.32,0.35,0.32,0.29,0.31,0.3,0.29,0.29,0.27,0.24,0.23,0.23,0.2,0.19,0.15,0.17,0.17,0.11,0.11,0.1,0.1,0.08,0.07,0.22,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,10.19,6.94,6.06,5.06,5.2,4.57,4.49,4.19,3.2,3.16,2.91,2.69,2.86,2.49,2.62,2.06,1.67,1.44,1.36,1.26,1.27,1.14,0.92,1.03,0.95,0.94,0.89,0.87,0.9,0.78,0.76,0.78,0.68,0.69,0.7,0.63,0.54,0.58,0.56,0.55,0.47,0.48,0.41,0.4,0.4,0.4,0.38,0.37,0.33,0.32,0.35,0.32,0.29,0.31,0.3,0.29,0.29,0.27,0.24,0.23,0.23,0.2,0.19,0.15,0.17,0.17,0.11,0.11,0.1,0.1,0.08,0.07,0.22,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,10.78,6.87,5.65,4.98,5.31,4.53,4.45,4.32,3.12,3.1,2.89,2.64,2.85,2.47,2.6,2.06,1.72,1.43,1.33,1.25,1.27,1.12,0.96,1.01,0.97,0.93,0.93,0.87,0.91,0.77,0.77,0.78,0.67,0.68,0.67,0.62,0.56,0.57,0.57,0.56,0.5,0.47,0.42,0.4,0.41,0.39,0.38,0.35,0.33,0.32,0.34,0.32,0.3,0.3,0.29,0.29,0.31,0.27,0.24,0.24,0.23,0.2,0.19,0.16,0.17,0.16,0.11,0.11,0.1,0.09,0.09,0.07,0.21,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,10.77,6.83,5.82,4.94,5.22,4.49,4.47,4.27,3.16,3.12,2.84,2.75,2.86,2.48,2.62,2.08,1.6,1.44,1.34,1.25,1.3,1.1,0.91,1.01,0.96,0.95,0.95,0.86,0.9,0.76,0.75,0.78,0.67,0.68,0.68,0.62,0.56,0.57,0.57,0.55,0.5,0.45,0.42,0.4,0.41,0.39,0.38,0.35,0.33,0.32,0.33,0.32,0.29,0.31,0.29,0.29,0.31,0.29,0.24,0.23,0.24,0.19,0.19,0.17,0.17,0.17,0.11,0.11,0.1,0.09,0.08,0.07,0.26,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/16/2021,10.78,6.75,5.86,4.96,5.18,4.52,4.47,4.22,3.1,3.1,2.81,2.75,2.82,2.51,2.65,2.07,1.7,1.49,1.36,1.24,1.28,1.1,0.97,1.01,0.95,0.96,1.0,0.88,0.94,0.74,0.74,0.77,0.65,0.68,0.66,0.63,0.56,0.54,0.57,0.55,0.53,0.43,0.44,0.4,0.41,0.38,0.37,0.33,0.33,0.33,0.33,0.32,0.27,0.32,0.29,0.29,0.31,0.27,0.23,0.24,0.24,0.19,0.19,0.16,0.17,0.17,0.11,0.11,0.1,0.1,0.08,0.07,0.26,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,10.7,6.76,5.69,5.0,5.01,4.49,4.54,4.24,2.98,3.19,2.75,2.75,2.76,2.52,2.61,2.07,1.75,1.53,1.42,1.23,1.31,1.12,1.0,1.06,0.96,0.94,0.99,0.86,0.95,0.75,0.74,0.77,0.64,0.73,0.67,0.64,0.55,0.52,0.6,0.58,0.54,0.46,0.42,0.42,0.42,0.38,0.39,0.32,0.34,0.34,0.32,0.32,0.27,0.31,0.31,0.29,0.33,0.27,0.23,0.25,0.24,0.19,0.19,0.18,0.17,0.17,0.12,0.11,0.1,0.1,0.08,0.06,0.27,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,10.7,6.76,5.69,5.0,5.01,4.49,4.54,4.24,2.98,3.19,2.75,2.75,2.76,2.52,2.61,2.07,1.75,1.53,1.42,1.23,1.31,1.12,1.0,1.06,0.96,0.94,0.99,0.86,0.95,0.75,0.74,0.77,0.64,0.73,0.67,0.64,0.55,0.52,0.6,0.58,0.54,0.46,0.42,0.42,0.42,0.38,0.39,0.32,0.34,0.34,0.32,0.32,0.27,0.31,0.31,0.29,0.33,0.27,0.23,0.25,0.24,0.19,0.19,0.18,0.17,0.17,0.12,0.11,0.1,0.1,0.08,0.06,0.27,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/21/2021,10.73,6.75,5.67,5.01,5.03,4.5,4.61,4.15,3.0,3.24,2.78,2.69,2.77,2.56,2.65,2.09,1.75,1.58,1.43,1.23,1.28,1.13,0.98,1.07,0.95,0.94,0.94,0.85,0.93,0.69,0.78,0.76,0.63,0.72,0.65,0.65,0.55,0.52,0.6,0.6,0.53,0.46,0.42,0.43,0.41,0.38,0.39,0.32,0.33,0.34,0.32,0.32,0.28,0.3,0.31,0.28,0.31,0.27,0.22,0.24,0.23,0.18,0.17,0.17,0.17,0.17,0.11,0.1,0.1,0.1,0.08,0.07,0.26,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/22/2021,10.73,6.76,6.04,5.12,4.91,4.69,4.59,4.05,3.05,3.27,2.79,2.7,2.79,2.5,2.73,2.07,1.66,1.48,1.42,1.19,1.24,1.12,0.93,1.07,0.94,0.95,0.93,0.83,0.95,0.7,0.78,0.75,0.62,0.7,0.68,0.64,0.52,0.51,0.62,0.59,0.53,0.45,0.41,0.44,0.42,0.38,0.38,0.32,0.34,0.34,0.32,0.31,0.27,0.29,0.31,0.28,0.31,0.27,0.21,0.22,0.23,0.18,0.16,0.17,0.17,0.17,0.11,0.09,0.1,0.1,0.08,0.07,0.27,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
