,NET,DDOG,CRWD,RPD,PANW,OKTA,PFPT,FTNT,MCFE,ZS,4704.T,SPLK,AVST.L,TENB,FEYE,CYBR,AKAM,SAIL,QLYS,PING,VRNS,FSLY,RDWR,ZIXI,688065.SS,n/a,688098.SS,TUFN,DARK.L,ESTC,S,SUMO,MSP,ABST.TO,SUM
11/25/2021,7.84,6.65,4.65,5.29,5.33,4.48,0.0,3.93,0.0,4.84,3.7,2.3,2.62,4.22,0.0,3.22,2.65,4.43,3.2,2.76,2.17,3.54,2.29,1.36,0.0,0.0,0.0,1.12,3.33,3.91,3.91,2.93,2.68,0.64,99.99
11/26/2021,7.29,6.57,4.55,5.32,5.71,4.43,0.0,3.99,0.0,4.75,3.92,2.34,2.74,4.34,0.0,3.15,2.78,4.45,3.23,2.76,2.23,3.5,2.36,1.44,0.0,0.0,0.0,1.1,3.37,3.76,3.75,2.84,2.71,0.66,100.04
11/29/2021,7.78,6.6,4.41,5.41,5.86,4.34,0.0,4.05,0.0,4.77,3.89,2.3,2.77,4.21,0.0,3.05,2.85,4.35,3.29,2.69,2.17,3.43,2.41,1.46,0.0,0.0,0.0,1.09,3.25,3.71,3.45,2.96,2.79,0.67,100.01
11/30/2021,7.97,6.7,4.49,5.33,5.74,4.44,0.0,4.02,0.0,4.74,3.9,2.32,2.81,4.15,0.0,3.09,2.86,4.33,3.23,2.63,2.13,3.5,2.39,1.47,0.0,0.0,0.0,1.06,3.16,3.68,3.44,2.95,2.8,0.65,99.98
12/01/2021,7.97,6.7,4.49,5.33,5.74,4.44,0.0,4.02,0.0,4.74,3.9,2.32,2.81,4.15,0.0,3.09,2.86,4.33,3.23,2.63,2.13,3.5,2.39,1.47,0.0,0.0,0.0,1.06,3.16,3.68,3.44,2.95,2.8,0.65,99.98
12/02/2021,7.54,6.71,4.3,5.42,5.88,4.43,0.0,4.18,0.0,4.96,3.82,2.3,2.79,4.15,0.0,3.1,2.9,4.35,3.32,2.62,2.14,3.54,2.35,1.45,0.0,0.0,0.0,1.05,3.07,3.78,3.43,2.97,2.8,0.65,100.0
12/06/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
12/07/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
12/08/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
12/09/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
12/10/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
12/13/2021,6.98,6.61,4.26,5.42,6.07,4.65,0.0,4.05,0.0,4.92,4.04,2.29,2.96,4.25,0.0,3.18,2.99,4.41,3.4,2.79,2.22,3.32,2.52,1.54,0.0,0.0,0.0,1.07,3.06,2.98,3.14,3.14,3.05,0.68,99.99
