,SPIP,GLDI,XYLD,QYLD,FIGXX,USOI,RYLD,AHM 2004-1 4M1,CWALT 2006-28CB A15,CWALT 2005-J11 4A1,BSARM 2004-8 12A1,PHHMC 2008-CIM2 1A1,CWALT 2005-10CB 2A1,SBM7 2003-1 B1,SH,SQQQ,TLT,SUM
01/24/2022,22.53,20.09,19.54,18.64,6.46,5.52,5.15,0.51,0.51,0.34,0.29,0.22,0.19,0.01,0.0,0.0,0.0,100.00000000000004
01/25/2022,22.53,20.09,19.54,18.64,6.46,5.52,5.15,0.51,0.51,0.34,0.29,0.22,0.19,0.01,0.0,0.0,0.0,100.00000000000004
01/26/2022,22.53,20.09,19.54,18.64,6.46,5.52,5.15,0.51,0.51,0.34,0.29,0.22,0.19,0.01,0.0,0.0,0.0,100.00000000000004
01/27/2022,23.18,20.46,19.42,18.45,5.57,5.6,5.2,0.52,0.51,0.35,0.3,0.22,0.19,0.01,0.0,0.0,0.0,99.98
01/28/2022,23.25,20.64,15.85,14.71,5.6,5.65,5.2,0.52,0.51,0.36,0.3,0.22,0.19,0.01,3.49,3.49,0.0,99.99
01/31/2022,23.28,20.28,15.85,14.69,5.81,5.72,5.1,0.52,0.52,0.36,0.3,0.22,0.19,0.0,3.53,3.62,0.0,99.99
02/01/2022,23.28,20.28,15.85,14.69,5.81,5.72,5.1,0.52,0.52,0.36,0.3,0.22,0.19,0.0,3.53,3.62,0.0,99.99
02/02/2022,23.28,20.28,15.85,14.69,5.81,5.72,5.1,0.52,0.52,0.36,0.3,0.22,0.19,0.0,3.53,3.62,0.0,99.99
02/03/2022,23.28,20.28,15.85,14.69,5.81,5.72,5.1,0.52,0.52,0.36,0.3,0.22,0.19,0.0,3.53,3.62,0.0,99.99
02/04/2022,23.28,20.28,15.85,14.69,5.81,5.72,5.1,0.52,0.52,0.36,0.3,0.22,0.19,0.0,3.53,3.62,0.0,99.99
02/07/2022,22.85,20.17,16.17,14.99,6.22,5.77,5.21,0.51,0.51,0.35,0.3,0.22,0.19,0.0,3.38,3.15,0.0,99.99
02/08/2022,22.85,20.17,16.17,14.99,6.22,5.77,5.21,0.51,0.51,0.35,0.3,0.22,0.19,0.0,3.38,3.15,0.0,99.99
02/09/2022,22.42,20.0,15.98,14.96,7.38,5.71,5.17,0.51,0.51,0.35,0.3,0.22,0.19,0.0,3.31,2.99,0.0,100.0
02/10/2022,22.36,20.1,15.96,14.89,7.36,5.72,5.18,0.51,0.51,0.35,0.3,0.22,0.19,0.0,3.31,3.05,0.0,100.01
02/11/2022,20.36,21.36,15.03,14.07,8.39,7.86,4.9,0.54,0.54,0.37,0.31,0.23,0.2,0.0,3.08,2.77,0.0,100.01
02/14/2022,18.28,19.35,13.58,12.71,17.57,7.09,4.43,0.42,0.42,0.28,0.24,0.18,0.15,0.0,2.79,2.5,0.0,99.99
02/15/2022,18.28,19.35,13.58,12.71,17.57,7.09,4.43,0.42,0.42,0.28,0.24,0.18,0.15,0.0,2.79,2.5,0.0,99.99
02/16/2022,18.28,19.35,13.58,12.71,17.57,7.09,4.43,0.42,0.42,0.28,0.24,0.18,0.15,0.0,2.79,2.5,0.0,99.99
02/17/2022,21.6,22.86,15.72,14.56,3.23,8.39,5.15,0.48,0.48,0.33,0.28,0.21,0.18,0.0,3.33,3.2,0.0,100.0
02/18/2022,21.27,22.66,15.77,14.78,4.09,8.15,5.19,0.47,0.47,0.32,0.27,0.2,0.17,0.0,3.26,2.93,0.0,100.0
02/21/2022,21.09,22.64,15.36,14.21,5.38,8.01,5.11,0.44,0.44,0.3,0.25,0.18,0.16,0.0,3.28,3.15,0.0,100.0
03/09/2022,21.63,22.52,12.02,10.85,5.57,8.37,5.02,0.43,0.43,0.3,0.25,0.17,0.0,0.0,6.21,6.22,0.0,99.99
04/15/2022,10.78,21.92,21.36,20.12,2.44,8.16,4.97,0.4,0.38,0.27,0.23,0.1,0.0,0.0,0.0,0.0,8.87,100.0
04/25/2022,10.29,20.37,20.05,18.75,8.56,7.7,4.71,0.38,0.36,0.25,0.22,0.09,0.0,0.0,0.0,0.0,8.27,100.0
05/20/2022,7.97,19.71,17.96,16.46,12.24,8.26,4.55,0.4,0.37,0.26,0.0,0.0,0.0,0.0,0.0,0.0,11.83,100.01000000000002
05/26/2022,8.07,20.0,17.21,15.58,13.44,8.1,4.39,0.39,0.37,0.26,0.0,0.0,0.0,0.0,0.0,0.0,12.2,100.01000000000002
08/17/2022,19.91,19.63,21.52,20.57,5.95,6.89,4.52,0.35,0.39,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
