,United States Treasury Notes 1.12%,United States Treasury Notes 1.38%,United States Treasury Notes 1.88%,Air Lease Corporation 3.5%,JPMorgan US Government MMkt Instl,VMware Inc 2.95%,Edison International 2.4%,Plains All American Pipeline L.P./PAA Finance Corp. 3.65%,CenterPoint Energy Resources Corp. 0.63%,HYUNDAI AUTO RECEIVABLES TRUST 0.26%,VERIZON OWNER TRUST 2.93%,Ecopetrol S.A. 5.88%,Kimco Realty Corporation 3.4%,American Express Company 0.78%,"Becton, Dickinson and Company 2.89%",Dominion Energy Inc 2.72%,Citigroup Inc. 1.14%,General Motors Financial Company Inc 4.38%,Gm Finl Con Auto Rec Tr 2017-3 2.33%,Barclays PLC 1.81%,Intercontinental Exchange Inc 0.77%,Entergy Corporation 4%,Morgan Stanley 4.88%,First National Mas 0.53%,Ares Capital Corporation 3.62%,Humana Inc. 3.15%,"Goldman Sachs Group, Inc. 0.45%",Teva Pharmaceutical Finance Netherlands III B.V. 2.2%,"Constellation Brands, Inc. 2.65%",Halliburton Company 3.25%,Ford Credit Floorplan Master Owner Trust A 2.48%,Equifax Inc. 1.03%,World Finl Network Credit Card Tst 2.49%,Freeport-Mcmoran Inc 3.55%,Cash,WORLD OMNI AUTOMOBILE LEASE SECURITIZATION TRUST 1.71%,Wells Fargo & Company 3.45%,NextEra Energy Capital Holdings Inc 2.8%,"QVC, Inc. 4.38%",Southern California Gas Company 0.47%,Ally Master Owner Trust 3.3%,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST 2.87%,Jabil Inc 4.7%,Biogen Inc 3.62%,MELLO WAREHOUSE SECURITIZATION TRUST 0.99%,Exelon Corporation 3.5%,"Nordstrom, Inc. 4%",Lennar Corporation 4.12%,"Charter Communications Operating, LLC/Charter Communications Operating Capi","Goldman Sachs Group, Inc. 2.88%",Qwest Corporation 6.75%,Pacific Gas and Electric Company 1.75%,Cenovus Energy Inc 3%,Aircastle Limited 4.4%,Barclays PLC 3.68%,Citigroup Inc. 2.31%,Equifax Inc. 3.6%,"Host Hotels & Resorts, L.P. 3.75%",TESLA AUTO LEASE TRUST 0.36%,"Molina Healthcare, Inc. 5.38%",Aviation Capital Group LLC 0.86%,Boston Scientific Corporation 3.38%,United Airlines Holdings Inc 4.25%,The ADT Corporation 3.5%,Delta Air Lines Inc 3.62%,DISH DBS Corporation 5.88%,OneMain Financial Corporation 6.12%,"T-Mobile US, Inc. 7.25%",Arroyo Mortgage Tst 3.8%,Invitation Homes Tr 2017-Sfr2 1.23%,SOFI CONSUMER LOAN PROGRAM LLC 2.02%,Occidental Petroleum Corporation 2.7%,OGE Energy Corporation 0.7%,Bank of America Corporation 1.35%,2 Year Treasury Note Future Sept 21,Barclays PLC 1.74%,United States Treasury Notes 0.12%,First National Mas 0.55%,Kinder Morgan Energy Partners LP 3.45%,Invitation Homes Tr 2017-Sfr2 1.24%,Bank of America Corporation 1.29%,Citigroup Inc. 1.09%,SUM
07/09/2021,5.69,4.91,2.77,2.54,2.38,2.32,2.26,2.26,2.23,2.2,2.13,2.1,2.08,2.07,2.05,1.98,1.81,1.81,1.8,1.72,1.71,1.68,1.68,1.63,1.5,1.46,1.43,1.43,1.42,1.42,1.42,1.39,1.34,1.31,1.25,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.11,1.08,1.08,1.07,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.56,0.52,0.49,0.41,0.4,0.28,0.17,-3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,5.69,4.91,4.22,2.54,0.91,2.32,2.27,2.26,2.23,2.2,2.12,2.11,2.08,2.07,2.05,1.97,1.81,1.8,1.8,1.72,1.71,1.68,1.68,1.63,1.5,1.47,1.43,1.43,1.43,1.42,1.42,1.39,1.34,1.3,1.25,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.13,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.4,0.28,0.17,-3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,5.69,4.91,4.22,2.54,0.91,2.32,2.27,2.26,2.23,2.2,2.12,2.11,2.08,2.07,2.05,1.97,1.81,1.8,1.8,1.72,1.71,1.68,1.68,1.63,1.5,1.47,1.43,1.43,1.43,1.42,1.42,1.39,1.34,1.3,1.25,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.13,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.4,0.28,0.17,-3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,5.69,4.91,4.22,2.54,0.92,2.32,2.27,2.26,2.23,2.2,2.13,2.11,2.08,2.07,2.05,1.98,1.81,1.8,1.8,1.72,1.71,1.68,1.68,1.63,1.5,1.46,1.43,1.43,1.42,1.42,1.42,1.39,1.34,1.3,1.22,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.4,0.28,0.17,-3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/15/2021,5.69,4.91,4.22,2.54,0.94,2.32,2.27,2.26,2.23,2.2,2.13,2.11,2.08,2.07,2.05,1.98,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.5,1.46,1.43,1.43,1.42,1.42,1.42,1.39,1.34,1.3,1.22,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.4,0.28,0.17,-3.23,1.72,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,5.69,4.91,4.22,2.54,0.94,2.32,2.27,2.26,2.23,2.21,2.13,2.1,2.08,2.07,2.05,1.98,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.5,1.46,1.43,1.43,1.42,1.42,1.42,1.4,1.34,1.3,1.23,1.19,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.91,0.87,0.85,0.85,0.85,0.84,0.84,0.73,0.67,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.41,0.28,0.17,-3.23,1.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,5.68,4.9,4.21,2.54,3.07,2.32,2.26,2.25,2.23,1.99,2.12,2.11,2.07,2.06,2.05,1.97,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.49,1.46,1.43,1.42,1.42,1.42,1.42,1.39,1.33,1.3,-0.32,0.97,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.95,0.9,0.87,0.85,0.85,0.84,0.84,0.83,0.73,0.68,0.66,0.64,0.58,0.57,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.4,0.28,0.17,-3.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.68,4.9,4.21,2.54,4.87,2.32,2.26,2.25,2.23,1.99,2.12,2.1,2.07,2.07,2.05,1.97,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.49,1.46,1.43,1.42,1.42,1.42,1.42,1.39,1.33,1.3,-0.57,0.97,1.15,1.14,1.14,1.14,0.0,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.94,0.9,0.87,0.85,0.85,0.84,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.58,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.0,0.28,0.17,-3.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,5.68,4.9,4.21,2.54,4.87,2.32,2.26,2.25,2.23,1.99,2.12,2.1,2.07,2.07,2.05,1.97,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.49,1.46,1.43,1.42,1.42,1.42,1.42,1.39,1.33,1.3,-0.57,0.97,1.15,1.14,1.14,1.14,0.0,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.94,0.9,0.87,0.85,0.85,0.84,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.58,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.0,0.28,0.17,-3.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,5.68,4.9,4.21,2.54,4.87,2.32,2.26,2.25,2.23,1.99,2.12,2.1,2.07,2.07,2.05,1.97,1.81,1.8,1.8,0.0,1.71,1.68,1.68,1.63,1.49,1.46,1.43,1.42,1.42,1.42,1.42,1.39,1.33,1.3,-0.57,0.97,1.15,1.14,1.14,1.14,0.0,1.13,1.13,1.12,1.11,1.08,1.08,1.08,1.06,1.03,0.94,0.9,0.87,0.85,0.85,0.84,0.84,0.84,0.73,0.68,0.66,0.64,0.58,0.58,0.57,0.56,0.56,0.55,0.52,0.49,0.41,0.0,0.28,0.17,-3.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
