,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,BRK.B,JPM,JNJ,UNH,V,PG,HD,PYPL,DIS,ADBE,BAC,MA,CMCSA,PFE,NFLX,CRM,CSCO,TMO,XOM,VZ,KO,PEP,ACN,INTC,ABT,DHR,NKE,LLY,WMT,AVGO,T,COST,ABBV,WFC,MRK,CVX,TXN,MDT,PM,LIN,MCD,QCOM,HON,NEE,INTU,ORCL,UNP,MS,GS,LOW,UPS,C,NOW,BMY,ISRG,BLK,SBUX,AMGN,AMT,SPGI,TGT,BA,AMD,CAT,RTX,CHTR,IBM,AMAT,MRNA,CVS,MMM,AXP,DE,ANTM,GE,SCHW,LMT,PLD,BKNG,EL,SYK,ZTS,ADI,ADP,SHW,MO,EQIX,MMC,LRCX,CCI,GILD,PNC,TJX,n/a,CI,REGN,MDLZ,TMUS,CB,FDX,CME,DUK,MU,NVR,BDX,ETN,ROP,CSX,AON,ICE,USB,NSC,HCA,TFC,COP,FIS,WM,ADSK,FISV,ITW,APD,SO,ILMN,CL,COF,EW,ECL,DG,TT,GD,BSX,IDXX,ATVI,HUM,EMR,NXPI,PGR,TROW,LHX,JCI,CMG,DXCM,MCO,MSCI,IQV,GM,D,VRTX,NOC,SBAC,ALGN,FCX,A,GPN,PPG,TRV,TWTR,ROK,PSA,CDNS,SNPS,DLR,BIIB,KLAC,F,AIG,KSU,ODFL,PXD,AZO,EXC,NEM,PH,RMD,DD,CARR,EA,TEL,MET,APTV,MCHP,IFF,MTD,DOW,FTNT,PRU,IT,XLNX,LH,APH,EBAY,SPG,ORLY,EOG,FLT,SIVB,AMP,SRE,ALL,OTIS,BK,WST,YUM,MAR,INFO,KMB,CNC,CTAS,MSI,BAX,ANSS,AEP,CTSH,SLB,ROST,HPQ,HLT,MPC,ADM,SYY,XEL,STZ,MCK,SUM
09/20/2021,6.17,6.07,3.98,2.36,2.32,2.12,1.56,1.47,1.4,1.27,1.15,1.04,1.01,0.94,0.95,0.88,0.89,0.86,0.81,0.8,0.7,0.66,0.69,0.67,0.65,0.62,0.63,0.6,0.57,0.57,0.58,0.59,0.56,0.55,0.54,0.49,0.53,0.56,0.53,0.51,0.48,0.51,0.45,0.47,0.48,0.43,0.43,0.44,0.45,0.42,0.4,0.4,0.42,0.38,0.37,0.38,0.36,0.38,0.35,0.36,0.36,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.31,0.31,0.3,0.31,0.28,0.3,0.32,0.32,0.28,0.27,0.29,0.26,0.28,0.26,0.26,0.25,0.24,0.26,0.24,0.24,0.22,0.25,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.24,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.19,0.18,0.2,0.18,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.14,0.13,0.12,0.0,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.78
09/21/2021,6.17,6.07,3.98,2.36,2.32,2.12,1.56,1.47,1.4,1.27,1.15,1.04,1.01,0.94,0.95,0.88,0.89,0.86,0.81,0.8,0.7,0.66,0.69,0.67,0.65,0.62,0.63,0.6,0.57,0.57,0.58,0.59,0.56,0.55,0.54,0.49,0.53,0.56,0.53,0.51,0.48,0.51,0.45,0.47,0.48,0.43,0.43,0.44,0.45,0.42,0.4,0.4,0.42,0.38,0.37,0.38,0.36,0.38,0.35,0.36,0.36,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.31,0.31,0.3,0.31,0.28,0.3,0.32,0.32,0.28,0.27,0.29,0.26,0.28,0.26,0.26,0.25,0.24,0.26,0.24,0.24,0.22,0.25,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.24,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.19,0.18,0.2,0.18,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.14,0.13,0.12,0.0,0.11,0.12,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.78
12/21/2021,6.81,6.14,3.7,2.02,2.22,2.06,1.91,1.79,1.4,1.2,1.15,1.19,0.91,0.98,1.08,0.55,0.68,0.67,0.84,0.78,0.56,0.87,0.65,0.63,0.64,0.67,0.65,0.55,0.58,0.61,0.64,0.53,0.61,0.51,0.52,0.57,0.51,0.65,0.43,0.61,0.58,0.52,0.48,0.57,0.45,0.35,0.38,0.45,0.49,0.52,0.37,0.46,0.45,0.44,0.41,0.36,0.34,0.45,0.37,0.3,0.28,0.35,0.3,0.33,0.32,0.32,0.31,0.3,0.28,0.27,0.43,0.29,0.32,0.21,0.27,0.33,0.24,0.32,0.25,0.27,0.25,0.28,0.26,0.32,0.22,0.29,0.24,0.22,0.21,0.27,0.24,0.25,0.22,0.22,0.2,0.23,0.24,0.21,0.23,0.22,0.22,0.26,0.18,0.19,0.23,0.17,0.21,0.15,0.23,0.19,0.23,0.0,0.18,0.18,0.13,0.2,0.19,0.19,0.19,0.18,0.16,0.19,0.23,0.15,0.18,0.16,0.15,0.17,0.19,0.17,0.14,0.18,0.16,0.18,0.15,0.14,0.13,0.12,0.14,0.15,0.11,0.16,0.13,0.16,0.14,0.12,0.11,0.14,0.14,0.15,0.14,0.15,0.13,0.21,0.16,0.15,0.13,0.11,0.13,0.14,0.11,0.0,0.11,0.12,0.0,0.11,0.13,0.13,0.13,0.12,0.0,0.14,0.19,0.12,0.0,0.0,0.11,0.11,0.13,0.11,0.11,0.0,0.11,0.12,0.0,0.13,0.11,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.14,0.0,0.12,0.0,0.11,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.27000000000001
01/03/2022,6.96,6.39,3.73,2.04,2.18,2.02,2.19,1.85,1.37,1.17,1.13,1.18,0.91,1.0,1.08,0.57,0.72,0.68,0.8,0.78,0.59,0.83,0.68,0.64,0.68,0.64,0.65,0.55,0.57,0.59,0.66,0.52,0.64,0.53,0.54,0.57,0.51,0.7,0.45,0.62,0.6,0.47,0.5,0.58,0.43,0.36,0.38,0.46,0.5,0.5,0.37,0.46,0.46,0.35,0.39,0.35,0.33,0.46,0.38,0.3,0.31,0.35,0.33,0.33,0.33,0.33,0.33,0.3,0.29,0.29,0.45,0.27,0.33,0.22,0.29,0.36,0.22,0.34,0.26,0.27,0.25,0.3,0.26,0.32,0.22,0.3,0.26,0.22,0.22,0.28,0.25,0.26,0.22,0.22,0.19,0.21,0.26,0.22,0.23,0.22,0.22,0.78,0.19,0.16,0.23,0.17,0.21,0.16,0.2,0.19,0.27,0.16,0.18,0.18,0.14,0.2,0.16,0.2,0.19,0.19,0.16,0.19,0.23,0.16,0.15,0.15,0.15,0.18,0.19,0.17,0.14,0.18,0.16,0.2,0.16,0.15,0.13,0.13,0.15,0.13,0.12,0.14,0.13,0.16,0.15,0.13,0.11,0.15,0.0,0.12,0.14,0.12,0.14,0.21,0.16,0.14,0.14,0.12,0.11,0.15,0.12,0.0,0.11,0.0,0.0,0.11,0.13,0.14,0.13,0.13,0.0,0.15,0.19,0.12,0.0,0.0,0.11,0.12,0.14,0.12,0.11,0.0,0.12,0.12,0.0,0.13,0.11,0.12,0.13,0.11,0.0,0.0,0.13,0.12,0.0,0.12,0.0,0.13,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
01/03/2022,6.96,6.39,3.73,2.04,2.18,2.02,2.19,1.85,1.37,1.17,1.13,1.18,0.91,1.0,1.08,0.57,0.72,0.68,0.8,0.78,0.59,0.83,0.68,0.64,0.68,0.64,0.65,0.55,0.57,0.59,0.66,0.52,0.64,0.53,0.54,0.57,0.51,0.7,0.45,0.62,0.6,0.47,0.5,0.58,0.43,0.36,0.38,0.46,0.5,0.5,0.37,0.46,0.46,0.35,0.39,0.35,0.33,0.46,0.38,0.3,0.31,0.35,0.33,0.33,0.33,0.33,0.33,0.3,0.29,0.29,0.45,0.27,0.33,0.22,0.29,0.36,0.22,0.34,0.26,0.27,0.25,0.3,0.26,0.32,0.22,0.3,0.26,0.22,0.22,0.28,0.25,0.26,0.22,0.22,0.19,0.21,0.26,0.22,0.23,0.22,0.22,0.78,0.19,0.16,0.23,0.17,0.21,0.16,0.2,0.19,0.27,0.16,0.18,0.18,0.14,0.2,0.16,0.2,0.19,0.19,0.16,0.19,0.23,0.16,0.15,0.15,0.15,0.18,0.19,0.17,0.14,0.18,0.16,0.2,0.16,0.15,0.13,0.13,0.15,0.13,0.12,0.14,0.13,0.16,0.15,0.13,0.11,0.15,0.0,0.12,0.14,0.12,0.14,0.21,0.16,0.14,0.14,0.12,0.11,0.15,0.12,0.0,0.11,0.0,0.0,0.11,0.13,0.14,0.13,0.13,0.0,0.15,0.19,0.12,0.0,0.0,0.11,0.12,0.14,0.12,0.11,0.0,0.12,0.12,0.0,0.13,0.11,0.12,0.13,0.11,0.0,0.0,0.13,0.12,0.0,0.12,0.0,0.13,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
01/03/2022,6.96,6.39,3.73,2.04,2.18,2.02,2.19,1.85,1.37,1.17,1.13,1.18,0.91,1.0,1.08,0.57,0.72,0.68,0.8,0.78,0.59,0.83,0.68,0.64,0.68,0.64,0.65,0.55,0.57,0.59,0.66,0.52,0.64,0.53,0.54,0.57,0.51,0.7,0.45,0.62,0.6,0.47,0.5,0.58,0.43,0.36,0.38,0.46,0.5,0.5,0.37,0.46,0.46,0.35,0.39,0.35,0.33,0.46,0.38,0.3,0.31,0.35,0.33,0.33,0.33,0.33,0.33,0.3,0.29,0.29,0.45,0.27,0.33,0.22,0.29,0.36,0.22,0.34,0.26,0.27,0.25,0.3,0.26,0.32,0.22,0.3,0.26,0.22,0.22,0.28,0.25,0.26,0.22,0.22,0.19,0.21,0.26,0.22,0.23,0.22,0.22,0.78,0.19,0.16,0.23,0.17,0.21,0.16,0.2,0.19,0.27,0.16,0.18,0.18,0.14,0.2,0.16,0.2,0.19,0.19,0.16,0.19,0.23,0.16,0.15,0.15,0.15,0.18,0.19,0.17,0.14,0.18,0.16,0.2,0.16,0.15,0.13,0.13,0.15,0.13,0.12,0.14,0.13,0.16,0.15,0.13,0.11,0.15,0.0,0.12,0.14,0.12,0.14,0.21,0.16,0.14,0.14,0.12,0.11,0.15,0.12,0.0,0.11,0.0,0.0,0.11,0.13,0.14,0.13,0.13,0.0,0.15,0.19,0.12,0.0,0.0,0.11,0.12,0.14,0.12,0.11,0.0,0.12,0.12,0.0,0.13,0.11,0.12,0.13,0.11,0.0,0.0,0.13,0.12,0.0,0.12,0.0,0.13,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
01/04/2022,6.96,6.39,3.73,2.04,2.18,2.02,2.19,1.85,1.37,1.17,1.13,1.18,0.91,1.0,1.08,0.57,0.72,0.68,0.8,0.78,0.59,0.83,0.68,0.64,0.68,0.64,0.65,0.55,0.57,0.59,0.66,0.52,0.64,0.53,0.54,0.57,0.51,0.7,0.45,0.62,0.6,0.47,0.5,0.58,0.43,0.36,0.38,0.46,0.5,0.5,0.37,0.46,0.46,0.35,0.39,0.35,0.33,0.46,0.38,0.3,0.31,0.35,0.33,0.33,0.33,0.33,0.33,0.3,0.29,0.29,0.45,0.27,0.33,0.22,0.29,0.36,0.22,0.34,0.26,0.27,0.25,0.3,0.26,0.32,0.22,0.3,0.26,0.22,0.22,0.28,0.25,0.26,0.22,0.22,0.19,0.21,0.26,0.22,0.23,0.22,0.22,0.78,0.19,0.16,0.23,0.17,0.21,0.16,0.2,0.19,0.27,0.16,0.18,0.18,0.14,0.2,0.16,0.2,0.19,0.19,0.16,0.19,0.23,0.16,0.15,0.15,0.15,0.18,0.19,0.17,0.14,0.18,0.16,0.2,0.16,0.15,0.13,0.13,0.15,0.13,0.12,0.14,0.13,0.16,0.15,0.13,0.11,0.15,0.0,0.12,0.14,0.12,0.14,0.21,0.16,0.14,0.14,0.12,0.11,0.15,0.12,0.0,0.11,0.0,0.0,0.11,0.13,0.14,0.13,0.13,0.0,0.15,0.19,0.12,0.0,0.0,0.11,0.12,0.14,0.12,0.11,0.0,0.12,0.12,0.0,0.13,0.11,0.12,0.13,0.11,0.0,0.0,0.13,0.12,0.0,0.12,0.0,0.13,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.12,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,85.96000000000001
02/09/2022,6.96,5.95,3.59,1.45,2.26,2.09,1.94,1.57,1.48,1.16,1.16,1.17,1.01,1.01,0.98,0.39,0.66,0.65,0.91,0.87,0.57,0.76,0.48,0.54,0.59,0.61,0.88,0.56,0.62,0.63,0.56,0.51,0.58,0.49,0.47,0.49,0.51,0.62,0.46,0.61,0.63,0.59,0.51,0.67,0.41,0.35,0.41,0.38,0.52,0.52,0.33,0.38,0.4,0.35,0.4,0.4,0.33,0.4,0.43,0.35,0.29,0.39,0.28,0.31,0.29,0.34,0.3,0.25,0.28,0.28,0.38,0.28,0.38,0.18,0.31,0.32,0.15,0.37,0.24,0.29,0.28,0.27,0.29,0.37,0.26,0.29,0.29,0.2,0.22,0.24,0.22,0.24,0.16,0.25,0.16,0.2,0.22,0.21,0.21,0.24,0.22,1.11,0.19,0.16,0.25,0.18,0.24,0.16,0.22,0.2,0.24,0.0,0.2,0.15,0.13,0.2,0.16,0.2,0.21,0.18,0.16,0.22,0.31,0.17,0.14,0.13,0.16,0.17,0.14,0.18,0.14,0.18,0.17,0.18,0.13,0.11,0.11,0.14,0.16,0.11,0.15,0.14,0.14,0.13,0.17,0.0,0.12,0.13,0.0,0.0,0.13,0.11,0.13,0.2,0.18,0.16,0.14,0.1,0.0,0.15,0.11,0.11,0.0,0.11,0.0,0.0,0.14,0.11,0.12,0.11,0.0,0.14,0.18,0.14,0.0,0.0,0.15,0.12,0.11,0.12,0.12,0.0,0.12,0.11,0.1,0.12,0.13,0.0,0.11,0.0,0.0,0.12,0.12,0.1,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.17,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.12,0.13,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.12,0.14,0.0,0.11,0.11,0.13,0.12,0.11,0.1,0.1,0.0,83.82000000000001
02/10/2022,6.96,5.88,3.62,1.38,2.21,2.04,1.92,1.6,1.5,1.17,1.17,1.18,1.01,1.0,0.98,0.38,0.67,0.64,0.92,0.86,0.57,0.77,0.47,0.54,0.6,0.6,0.9,0.56,0.63,0.63,0.56,0.51,0.58,0.49,0.47,0.49,0.5,0.62,0.46,0.61,0.64,0.6,0.5,0.68,0.41,0.35,0.41,0.38,0.52,0.51,0.33,0.38,0.4,0.34,0.4,0.4,0.34,0.4,0.43,0.35,0.29,0.4,0.28,0.31,0.29,0.34,0.3,0.25,0.28,0.29,0.38,0.28,0.38,0.18,0.31,0.33,0.15,0.38,0.25,0.3,0.28,0.28,0.3,0.38,0.26,0.29,0.29,0.2,0.22,0.25,0.22,0.24,0.16,0.25,0.16,0.2,0.22,0.21,0.22,0.24,0.22,1.05,0.2,0.16,0.26,0.19,0.23,0.16,0.22,0.2,0.24,0.0,0.21,0.15,0.13,0.2,0.16,0.19,0.21,0.18,0.16,0.22,0.32,0.17,0.14,0.13,0.16,0.17,0.13,0.18,0.14,0.19,0.17,0.18,0.13,0.11,0.11,0.14,0.16,0.11,0.15,0.14,0.15,0.13,0.17,0.0,0.12,0.13,0.0,0.0,0.13,0.11,0.13,0.2,0.18,0.16,0.14,0.0,0.0,0.15,0.11,0.11,0.0,0.11,0.0,0.0,0.14,0.11,0.12,0.11,0.0,0.14,0.18,0.14,0.0,0.0,0.15,0.12,0.12,0.13,0.12,0.0,0.12,0.11,0.1,0.12,0.13,0.0,0.11,0.0,0.0,0.11,0.12,0.11,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.18,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.12,0.0,0.1,0.12,0.0,0.12,0.13,0.14,0.0,0.11,0.11,0.13,0.12,0.11,0.1,0.1,0.0,83.81
02/11/2022,6.96,5.88,3.62,1.38,2.21,2.04,1.92,1.6,1.5,1.17,1.17,1.18,1.01,1.0,0.98,0.38,0.67,0.64,0.92,0.86,0.57,0.77,0.47,0.54,0.6,0.6,0.9,0.56,0.63,0.63,0.56,0.51,0.58,0.49,0.47,0.49,0.5,0.62,0.46,0.61,0.64,0.6,0.5,0.68,0.41,0.35,0.41,0.38,0.52,0.51,0.33,0.38,0.4,0.34,0.4,0.4,0.34,0.4,0.43,0.35,0.29,0.4,0.28,0.31,0.29,0.34,0.3,0.25,0.28,0.29,0.38,0.28,0.38,0.18,0.31,0.33,0.15,0.38,0.25,0.3,0.28,0.28,0.3,0.38,0.26,0.29,0.29,0.2,0.22,0.25,0.22,0.24,0.16,0.25,0.16,0.2,0.22,0.21,0.22,0.24,0.22,1.05,0.2,0.16,0.26,0.19,0.23,0.16,0.22,0.2,0.24,0.0,0.21,0.15,0.13,0.2,0.16,0.19,0.21,0.18,0.16,0.22,0.32,0.17,0.14,0.13,0.16,0.17,0.13,0.18,0.14,0.19,0.17,0.18,0.13,0.11,0.11,0.14,0.16,0.11,0.15,0.14,0.15,0.13,0.17,0.0,0.12,0.13,0.0,0.0,0.13,0.11,0.13,0.2,0.18,0.16,0.14,0.0,0.0,0.15,0.11,0.11,0.0,0.11,0.0,0.0,0.14,0.11,0.12,0.11,0.0,0.14,0.18,0.14,0.0,0.0,0.15,0.12,0.12,0.13,0.12,0.0,0.12,0.11,0.1,0.12,0.13,0.0,0.11,0.0,0.0,0.11,0.12,0.11,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.18,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.12,0.0,0.1,0.12,0.0,0.12,0.13,0.14,0.0,0.11,0.11,0.13,0.12,0.11,0.1,0.1,0.0,83.81
02/14/2022,6.95,5.88,3.63,1.39,2.19,2.03,1.9,1.67,1.51,1.19,1.15,1.18,1.0,0.98,0.97,0.37,0.71,0.62,0.93,0.85,0.57,0.73,0.48,0.54,0.59,0.59,0.85,0.56,0.62,0.61,0.55,0.52,0.58,0.48,0.47,0.48,0.49,0.62,0.46,0.61,0.64,0.61,0.49,0.67,0.41,0.36,0.41,0.4,0.51,0.51,0.33,0.38,0.41,0.34,0.4,0.41,0.34,0.4,0.42,0.36,0.3,0.4,0.28,0.3,0.29,0.35,0.29,0.24,0.28,0.3,0.39,0.29,0.39,0.18,0.3,0.34,0.15,0.36,0.24,0.31,0.3,0.28,0.29,0.38,0.26,0.28,0.31,0.2,0.22,0.24,0.22,0.23,0.16,0.25,0.16,0.2,0.23,0.2,0.21,0.24,0.22,0.96,0.2,0.16,0.25,0.19,0.24,0.16,0.22,0.19,0.27,0.0,0.21,0.15,0.13,0.2,0.16,0.19,0.21,0.18,0.16,0.22,0.31,0.17,0.14,0.13,0.15,0.17,0.13,0.18,0.14,0.18,0.18,0.18,0.13,0.11,0.11,0.14,0.17,0.11,0.15,0.14,0.15,0.13,0.16,0.0,0.12,0.13,0.0,0.1,0.13,0.11,0.13,0.19,0.17,0.15,0.15,0.0,0.0,0.17,0.11,0.11,0.1,0.11,0.0,0.0,0.14,0.11,0.12,0.11,0.0,0.15,0.18,0.14,0.0,0.0,0.14,0.11,0.11,0.12,0.12,0.0,0.12,0.11,0.0,0.13,0.13,0.0,0.11,0.1,0.0,0.12,0.12,0.11,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.12,0.11,0.13,0.0,0.0,0.12,0.0,0.12,0.13,0.14,0.0,0.12,0.12,0.13,0.12,0.12,0.0,0.1,0.1,83.62000000000002
