,ISHARES IBOXX $ INV GRADE CORPORAT,CASH COLLATERAL USD XCITI,SWP: IFS 1.896250 20-AUG-2030,BLK CSH FND TREASURY SL AGENCY,SWP: IFS 1.889000 20-AUG-2030,SWP: IFS 1.947500 20-AUG-2050,SWP: IFS 1.833750 18-OCT-2049,SWP: IFS 2.192500 03-DEC-2028,SWP: IFS 2.240000 12-JAN-2031,SWP: IFS 2.401000 09-FEB-2031,SWP: IFS 2.465500 07-APR-2031,SWP: IFS 2.230000 06-JAN-2051,SWP: IFS 2.289000 15-MAY-2023,SWP: IFS 2.367500 15-MAY-2028,SWP: IFS 2.567000 19-APR-2026,CASH COLLATERAL USD SALFT,SWP: IFS 2.402000 29-JUN-2041,SWP: IFS 1.937500 20-AUG-2050,SWP: IFS 1.797500 20-AUG-2025,SWP: IFS 1.745500 20-AUG-2023,SWP: IFS 1.741500 20-AUG-2022,USD CASH,US LONG BOND SEP 21,US 5YR NOTE SEP 21,US 2YR NOTE SEP 21,SWP: IFS 2.398500 15-MAY-2048,SWP: IFS 2.446000 29-JUN-2041,SWP: IFS 2.565000 02-JUN-2031,SWP: IFS 2.673000 19-MAY-2031,SWP: IFS 2.383750 16-JUL-2041,US ULTRA 10YR NOTE SEP 21,SUM
07/09/2021,93.93,4.71,1.45,1.37,0.35,0.33,0.25,0.24,0.23,0.19,0.07,0.07,0.06,0.05,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.04,0.0,0.0,103.31
07/12/2021,94.87,4.86,1.28,0.93,0.31,0.27,0.21,0.17,0.17,0.1,0.01,0.04,0.06,0.0,0.03,0.02,-0.03,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,-0.04,-0.09,-0.12,-0.07,0.0,0.0,102.28
07/13/2021,94.87,4.86,1.28,0.93,0.31,0.27,0.21,0.17,0.17,0.1,0.01,0.04,0.06,0.0,0.03,0.02,-0.03,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,-0.04,-0.09,-0.12,-0.07,0.0,0.0,102.28
07/14/2021,94.37,4.84,1.38,0.23,0.33,0.29,0.22,0.2,0.21,0.15,0.04,0.05,0.06,0.03,0.04,0.02,-0.01,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,-0.02,-0.05,-0.07,-0.05,0.0,0.0,102.73000000000002
07/15/2021,94.37,4.84,1.38,0.23,0.33,0.29,0.22,0.2,0.21,0.15,0.04,0.05,0.06,0.03,0.04,0.02,-0.01,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,-0.02,-0.05,-0.07,-0.05,0.0,0.0,102.73000000000002
07/16/2021,93.69,4.8,1.51,1.1,0.36,0.31,0.23,0.27,0.25,0.22,0.09,0.06,0.09,0.07,0.07,0.02,0.01,0.01,0.0,0.0,0.0,0.35,0.0,0.0,0.0,-0.01,-0.02,0.01,-0.03,0.0,0.0,103.46
07/19/2021,94.0,4.78,1.41,1.42,0.34,0.28,0.21,0.24,0.23,0.19,0.07,0.05,0.09,0.06,0.06,0.02,-0.01,0.0,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-0.03,-0.05,-0.02,-0.04,0.0,0.0,102.90999999999998
07/20/2021,94.0,4.78,1.41,1.42,0.34,0.28,0.21,0.24,0.23,0.19,0.07,0.05,0.09,0.06,0.06,0.02,-0.01,0.0,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-0.03,-0.05,-0.02,-0.04,0.0,0.0,102.90999999999998
07/22/2021,94.53,4.86,1.31,1.32,0.32,0.26,0.2,0.19,0.19,0.14,0.04,0.04,0.07,0.02,0.04,0.02,-0.03,0.0,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,-0.05,-0.08,-0.08,-0.05,-0.02,0.0,102.63
07/23/2021,94.41,4.83,1.32,0.7,0.32,0.26,0.2,0.2,0.2,0.15,0.04,0.04,0.07,0.03,0.04,0.02,-0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-0.04,-0.07,-0.06,-0.05,-0.01,0.0,102.63
07/27/2021,94.06,4.74,1.39,1.12,0.34,0.27,0.21,0.23,0.22,0.19,0.07,0.04,0.08,0.05,0.06,0.02,-0.01,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,-0.03,-0.05,-0.02,-0.04,-0.01,0.0,103.04
07/29/2021,92.93,4.68,1.62,1.67,0.39,0.33,0.25,0.31,0.3,0.3,0.14,0.08,0.1,0.1,0.08,0.02,0.02,0.01,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.01,0.02,0.08,0.0,0.01,0.0,104.0
07/30/2021,93.27,4.68,1.54,2.2,0.37,0.31,0.23,0.29,0.28,0.26,0.12,0.06,0.1,0.09,0.08,0.02,0.01,0.01,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,-0.01,0.0,0.06,-0.01,0.01,0.0,103.76
