,4308.T,APGN.SW,Cash,n/a,SKBN.TA,7342.T,SUM
07/09/2021,100.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,0.0,95.6,4.4,0.0,0.0,0.0,100.0
08/09/2021,0.0,95.6,0.0,4.4,0.0,0.0,100.0
08/10/2021,0.0,95.6,0.0,4.4,0.0,0.0,100.0
08/11/2021,0.0,95.6,0.0,4.4,0.0,0.0,100.0
08/13/2021,0.0,93.4,0.0,6.6,0.0,0.0,100.0
08/16/2021,0.0,95.55,0.0,4.45,0.0,0.0,100.0
08/17/2021,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,0.0,95.65,0.0,4.35,0.0,0.0,100.0
08/19/2021,95.65,0.0,0.0,4.35,0.0,0.0,100.0
08/20/2021,0.0,95.65,0.0,4.35,0.0,0.0,100.0
08/23/2021,0.0,95.65,0.0,4.35,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,4.35,95.65,0.0,100.0
08/25/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
08/26/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
08/27/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
08/30/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
08/31/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
09/01/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
09/02/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
09/03/2021,0.0,0.0,0.0,4.35,0.0,95.65,100.0
09/06/2021,0.0,0.0,0.0,3.76,0.0,96.24,100.0
09/20/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/21/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/22/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/23/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/24/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/27/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/28/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/29/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
09/30/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/04/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/05/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/19/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/20/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/21/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/22/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/25/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/26/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/27/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/28/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
10/29/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/01/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/02/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/03/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/04/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/18/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/19/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/22/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/23/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/24/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
11/25/2021,0.0,0.0,0.0,100.0,0.0,0.0,100.0
