,AGPXX,Oracle Corp,Morgan Stanley,Goldman Sachs Group Inc/The,Deutsche Bank AG/New York NY,Citigroup Inc,Wells Fargo & Co,Credit Suisse AG/New York NY,Credit Suisse AG/New York NY.1,Morgan Stanley.1,Gilead Sciences Inc,Microsoft Corp,Cisco Systems Inc/Delaware,Bank of Montreal,Citigroup Inc.1,NextEra Energy Capital Holdings Inc,Sumitomo Mitsui Financial Group Inc,JPMorgan Chase & Co,Sumitomo Mitsui Financial Group Inc.1,Santander UK Group Holdings PLC,Bristol-Myers Squibb Co,Oracle Corp.1,Toronto-Dominion Bank/The,Capital One Financial Corp,Gilead Sciences Inc.1,General Motors Financial Co Inc,Mizuho Financial Group Inc,Barclays PLC,Shell International Finance BV,General Mills Inc,Intel Corp,Honeywell International Inc,BPCE SA,Entergy Louisiana LLC,Qwest Corp,NVIDIA Corp,Mitsubishi UFJ Financial Group Inc,Pfizer Inc,American Honda Finance Corp,Walgreens Boots Alliance Inc,Molson Coors Beverage Co,Caterpillar Financial Services Corp,Bank of New York Mellon Corp/The,Pfizer Inc.1,Svenska Handelsbanken AB,Amazon.com Inc,ERP Operating LP,Fifth Third Bank NA,UnitedHealth Group Inc,Toyota Motor Credit Corp,Skandinaviska Enskilda Banken AB,Caterpillar Financial Services Corp.1,Duke Energy Corp,J M Smucker Co/The,Procter & Gamble Co/The,Mitsubishi UFJ Financial Group Inc.1,Bank of Nova Scotia/The,Philip Morris International Inc,PepsiCo Inc,American Honda Finance Corp.1,Discover Bank,Ovintiv Inc,TotalEnergies Capital International SA,TWDC Enterprises 18 Corp,Kroger Co/The,PepsiCo Inc.1,Norfolk Southern Corp,PNC Bank NA,Truist Financial Corp,Roper Technologies Inc,Xylem Inc/NY,Consolidated Edison Inc,KeyBank NA/Cleveland OH,Toyota Motor Corp,Nordstrom Inc,Mastercard Inc,HP Inc,Canadian Natural Resources Ltd,Puget Energy Inc,Stryker Corp,TotalEnergies Capital SA,Emerson Electric Co,Tyson Foods Inc,John Deere Capital Corp,Halliburton Co,Williams Cos Inc/The,MPT Operating Partnership LP / MPT Finance Corp,Ohio Power Co,John Deere Capital Corp.1,Lockheed Martin Corp,Lowe's Cos Inc,Capital One NA,Duke Energy Progress LLC,Northern Trust Corp,Berkshire Hathaway Inc,HP Inc.1,UnitedHealth Group Inc.1,John Deere Capital Corp.2,Progressive Corp/The,General Dynamics Corp,Cash/Receivables/Payables,B 0 09/23/21,Oracle Corporation 1.9%,Deutsche Bank AG New York Branch 4.25%,Morgan Stanley 2.62%,"Goldman Sachs Group, Inc. 5.25%",Citigroup Inc. 2.9%,Wells Fargo & Company 2.1%,Credit Suisse AG New York Branch 3%,Credit Suisse AG New York Branch 2.1%,Morgan Stanley 5.5%,"Gilead Sciences, Inc. 0.75%","Cisco Systems, Inc. 1.85%",Bank of Montreal 1.9%,Citigroup Inc. 2.35%,NextEra Energy Capital Holdings Inc 2.4%,Sumitomo Mitsui Financial Group Inc 2.44%,JPMorgan Chase & Co. 4.35%,Barclays PLC 3.2%,Santander UK Group Holdings plc 2.88%,Bristol-Myers Squibb Company 0.54%,"Gilead Sciences, Inc. 4.4%",General Motors Financial Company Inc 4.38%,Mizuho Financial Group Inc. 2.27%,Shell International Finance B.V. 1.75%,"Mitsubishi UFJ Financial Group, Inc. 2.19%",Honeywell International Inc. 1.85%,"General Mills, Inc. 3.15%",Intel Corporation 3.3%,Bpce Sa 2.75%,"Walgreens Boots Alliance, Inc. 3.3%","Entergy Louisiana, LLC 0.62%",Qwest Corporation 6.75%,Nvidia Corp 2.2%,Pfizer Inc. 2.2%,American Honda Finance Corporation 1.7%,Skandinaviska Enskilda Banken AB (publ) 1.88%,Caterpillar Financial Services Corporation 1.7%,The Bank of New York Mellon Corporation 3.55%,Pfizer Inc. 3%,Svenska Handelsbanken Ab (Publ) 1.88%,Philip Morris International Inc. 2.9%,"Amazon.com, Inc. 3.3%",ERP Operating Limited Partnership 4.62%,Fifth Third Bank of Cincinnati 2.88%,United Health Group Incorporated 2.88%,J.M. Smucker Company 3.5%,Toyota Motor Credit Corporation 3.4%,Caterpillar Financial Services Corporation 3.15%,Duke Energy Corp 1.8%,The Procter & Gamble Company 1.7%,"Mitsubishi UFJ Financial Group, Inc. 3.54%",Bank of Nova Scotia 2.8%,MasterCard Incorporated 2%,Pepsico Inc 1.7%,Walt Disney Company 2.75%,Ovintiv Inc 3.9%,PNC Bank National Association Pittsburgh Pennsylvania 2.55%,The Kroger Co. 2.95%,Pepsico Inc 3%,Norfolk Southern Corporation 3.25%,Truist Financial Corporation 3.2%,Roper Technologies Inc 2.8%,"Xylem, Inc. 4.88%",Total Capital S.A. 4.25%,Emerson Electric Co. 2.62%,"Consolidated Edison, Inc. 0.65%",KeyBank National Association 2.5%,Toyota Motor Corp 3.18%,"Nordstrom, Inc. 4%",Canadian Natural Resources Limited 3.45%,Puget Energy Inc 6%,Stryker Corporation 0.6%,"Tyson Foods, Inc. 2.25%",John Deere Capital Corporation 3.12%,Halliburton Company 3.25%,Williams Partners LP / Williams Partners Finance Corporation 4%,MPT Operating Partnership LP / MPT Finance Corporation 5.25%,Ohio Power Company 5.38%,John Deere Capital Corporation 3.15%,Lockheed Martin Corporation 3.35%,"Lowes Companies, Inc. 3.8%","Capital One, National Association 2.25%",Duke Energy Progress Inc 3%,Northern Trust Corporation 3.38%,Berkshire Hathaway Inc. 3.75%,United Health Group Incorporated 3.38%,The Progressive Corporation 3.75%,General Electric Company 4.65%,Cash,Securities Lending - Bnym,United States Treasury Bills 0%,B 0 12.02.21,BMY 0.537 11.13.23,BPCEGP 2.75 12.02.21 MTN,ETR 0.62 11.17.23,PFE 2.2 12.15.21,CTL 6.75 12.01.21,UNH 2.875 12.15.21,ED 0.65 12.01.23 A,SYK 0.6 12.01.23,TTEFP 4.25 12.15.21,KEY 2.5 11.22.21 BKNT,n/a,SUM
07/09/2021,21.07,3.67,2.86,2.8,2.67,2.23,2.08,1.76,1.74,1.72,1.53,1.49,1.41,1.36,1.33,1.27,1.26,1.23,1.19,1.13,1.13,1.09,1.01,0.99,0.99,0.97,0.96,0.91,0.91,0.88,0.88,0.87,0.85,0.82,0.82,0.79,0.79,0.78,0.77,0.76,0.71,0.71,0.69,0.65,0.65,0.63,0.63,0.62,0.61,0.6,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.52,0.5,0.5,0.49,0.49,0.48,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.37,0.37,0.36,0.36,0.35,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,3.73,3.18,2.91,2.84,2.27,2.11,1.79,1.77,1.75,1.56,1.43,1.38,1.36,1.29,1.28,1.25,1.16,1.15,1.15,1.12,1.11,0.98,0.93,0.92,0.91,0.89,0.89,0.87,0.86,0.84,0.83,0.8,0.79,0.78,0.78,0.72,0.71,0.67,0.66,0.65,0.64,0.64,0.63,0.62,0.62,0.61,0.58,0.58,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.28,0.27,0.25,0.24,0.23,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/22/2021,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,3.73,3.18,2.91,2.84,2.27,2.11,1.79,1.77,1.75,1.56,1.43,1.38,1.36,1.29,1.28,1.25,1.16,1.15,1.15,1.12,1.11,0.98,0.93,0.92,0.91,0.89,0.89,0.87,0.86,0.84,0.83,0.8,0.79,0.78,0.78,0.72,0.71,0.67,0.66,0.65,0.64,0.64,0.63,0.62,0.62,0.61,0.58,0.58,0.57,0.57,0.56,0.56,0.51,0.5,0.49,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.28,0.27,0.25,0.24,0.23,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/26/2021,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.23,2.95,2.89,2.3,2.14,1.82,1.8,1.85,1.58,1.45,1.4,1.46,1.31,1.3,1.31,1.18,1.3,1.3,1.13,1.13,1.06,0.94,0.97,0.94,0.91,0.9,0.88,1.17,0.88,0.85,0.82,0.92,0.91,0.89,0.79,0.72,0.72,0.71,0.66,0.93,0.65,0.64,0.63,0.63,0.63,0.68,0.59,0.61,0.6,0.0,0.56,0.52,0.51,0.5,0.5,0.46,0.46,0.46,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.0,0.0,0.4,0.44,0.43,0.36,0.35,0.34,0.33,0.33,0.32,0.33,0.31,0.3,0.29,0.31,0.26,0.24,0.48,0.23,0.02,0.0,0.0,15.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/19/2021,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.54,1.38,1.1,0.99,0.9,0.83,0.65,0.54,0.53,0.46,0.45,0.0,100.0
11/24/2021,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.53,1.41,1.13,1.01,0.92,0.85,0.67,0.55,0.54,0.47,0.0,0.0,100.01000000000002
11/25/2021,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.11,1.4,1.12,1.0,0.92,0.84,0.66,0.54,0.54,0.47,0.0,0.0,99.99
12/06/2021,97.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.68,0.0,0.0,0.48,0.0,0.0,100.01
12/07/2021,97.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.68,0.0,0.0,0.48,0.0,0.0,100.01
12/08/2021,97.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.68,0.0,0.0,0.48,0.0,0.0,100.01
