,CTE ? PROSHARES TRUST M,B 0 05/06/21,B 0 05/13/21,B 0 04/01/21,B 0 04/08/21,B 0 06/10/21,B 0 08/12/21,B 0 07/29/21,B 0 11/04/21,B 0 05/20/21,B 0 04/15/21,B 0 04/22/21,B 0 05/27/21,B 0 07/15/21,TBILL,B 0 10/07/21,CASH,ICE 20+ Year U.S. Treasury Index SWAP Goldman Sach,ICE 20+ Year U.S. Treasury Index SWAP Citibank NA,ICE 20+ Year U.S. Treasury Index SWAP Bank of Amer,ICE 20+ Year U.S. Treasury Index SWAP Societe Gene,US LONG BOND CBT  BOND 21/JUN/2021 USM1 COMDTY,U.S. DOLLAR FOR FUTURES,B 0 10/29/20,B 0 08/13/20,B 0 08/18/20,B 0 08/27/20,B 0 09/03/20,B 0 09/10/20,CMB 0 09/22/20,B 0 10/22/20,CMB 0 02/16/21,CMB,B 0 12/31/20,B 0 12/03/20,B 0 10/01/20,B 0 11/12/20,B 0 11/05/20,B 0 10/08/20,B 0 06/04/20,B 0 07/16/20,US SDOLLAR CALL A/C,LEHMAN SWAP PAYBLE,SWAP Deutsche Bank AG,SWAP Morgan Stanley & Co. International PLC,U.S. DOLLAR,UNITS,US LONG BOND CBT  BOND 21/DEC/2020 USZ0 COMDTY,US LONG BOND CBT  BOND 21/SEP/2020 USU0 COMDTY,US LONG BOND CBT  BOND 22/MAR/2021 USH1 COMDTY,B 0 01/21/21,B 0 07/09/20,B 0 02/11/21,B 0 02/18/21,B 0 03/04/21,B 0 03/18/21,B 0 06/11/20,B 0 06/18/20,B 0 06/25/20,B 0 07/02/20,XIB 0 08/11/20,SUM
07/23/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
07/26/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
07/27/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
07/28/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
07/29/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
07/30/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
08/02/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
08/03/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
08/04/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
08/05/2021,40.99,7.89,7.89,5.92,3.95,3.95,3.95,3.95,3.94,2.76,2.37,1.97,1.97,1.97,1.97,1.97,0.82,0.65,0.55,0.53,0.39,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4
