,Morgan Stanley 3.77%,Bank of America Corporation 2.59%,Comcast Corporation 3.75%,Santander Holdings Usa Inc 4.4%,Lloyds Banking Group plc 4.45%,Barclays PLC 4.38%,Citizens Financial Group Inc 3.25%,Citigroup Inc. 2.98%,Wells Fargo & Company 2.88%,"Charter Communications Operating, LLC/Charter Communications Operating Capi",Microsoft Corporation 2.52%,JPMorgan Chase & Co. 2.74%,"T-Mobile USA, Inc. 2.55%",AMZN 2.5 06/03/50,"Goldman Sachs Group, Inc. 1.43%",Apple Inc. 1.2%,FENER.IS,CVS Health Corp 4.3%,General Electric Company 4.25%,Nvidia Corp 2.85%,Aker Bp Asa 3.75%,Oracle Corporation 2.3%,Verizon Communications Inc. 2.65%,"Host Hotels & Resorts, L.P. 3.38%",Expedia Group Inc 3.25%,Enbridge Incorporation 5.75%,"Sabine Pass Liquefaction, LLC 4.2%",Mplx Lp 4%,General Motors Financial Company Inc 2.7%,"Marriott International, Inc. 4.62%","NRG Energy, Inc. 4.45%",Vistra Operations Co LLC 4.3%,NextEra Energy Capital Holdings Inc 2.75%,CVECN 5.4 06/15/47,Anheuser-Busch InBev Worldwide Inc. 4.6%,Dell International L.L.C. and EMC Corporation 5.3%,CenterPoint Energy Resources Corp. 1.75%,Booking Holdings Inc 4.62%,Teachers Insurance and Annuity Assoc. 4.27%,Energy Transfer LP 5.25%,"GLP Capital L.P. and GLP Financing II, Inc. 5.38%",Dollar Tree Inc 4.2%,Micron Technology Inc. 4.18%,HCA Inc. 4.12%,Jefferies Group LLC/Jefferies Group Capital Finance Inc 4.15%,Skymiles Ip Limited & Delta Air Lines Incorporated 4.75%,AMT 3.8 08/15/29,Vulcan Materials Company 3.5%,Brighthouse Financial Inc. 3.7%,AmerisourceBergen Corporation 3.45%,AbbVie Inc. 3.2%,The Boeing Company 3.75%,Ares Capital Corporation 3.88%,"Level 3 Financing, Inc. 3.4%","Prudential Financial, Inc. 5.88%",Viatris Inc 4%,Air Lease Corporation 2.88%,Newmont Corporation 2.8%,Broadcom Inc 2.45%,Visa Inc 2.7%,Walt Disney Company 1.75%,AT&T Inc 3.1%,Hyndai Capital America 2.38%,"Kinder Morgan, Inc. 3.6%","The Williams Companies, Inc. 2.6%","Universal Health Services, Inc. 2.65%",International Flavors & Fragrances Inc. 1.83%,CyrusOne LP / CyrusOne Finance Corp. 2.15%,Royalty Pharma plc 1.75%,"Equinix, Inc. 1.55%",Aercap Ireland Capital DAC 3.65%,AT&T Inc 3.5%,Motorola Solutions Inc 2.3%,"Amazon.com, Inc. 2.5%",8214.T,Cenovus Energy Inc 5.4%,ET 5.25 04/15/29,Dell International L.L.C. and EMC Corporation 8.35%,CHTR 3.5 06/01/41,MSI 2.3 11/15/30,American Tower Corporation 3.8%,MS 3.875 04.29.24 F,BAC V2.592 04.29.31,JPM V2.739 10.15.30,LLOYDS 4.45 05.08.25,BACR 4.375 01.12.26,SANUSA 4.4 07.13.27,CMCSA 3.75 04.01.40,CFG 3.25 04.30.30,WFC V2.879 10.30.30 MTN,C V2.976 11.05.30,MSFT 2.525 06.01.50,TMUS 2.55 02.15.31,AMZN 2.5 06.03.50,GS V1.431 03.09.27,AAPL 2.7 08.05.51,CHTR 3.5 06.01.41,NVDA 2.85 04.01.30,AKERBP 3.75 01.15.30 144A,ENBCN V5.75 07.15.80 20-A,EXPE 3.25 02.15.30,HST 3.375 12.15.29 H,VZ 2.65 11.20.40,SPLLLC 5.75 05.15.24,GM 2.7 08.20.27,NRG 4.45 06.15.29 144A,MAR 4.625 06.15.30 FF,VST 4.3 07.15.29 144A,NEE 2.75 11.01.29,ACAFP 3.25 01.14.30 144A,FCX 5.45 03.15.43,CVECN 5.4 06.15.47,BKNG 3.65 03.15.25,CNP 1.75 10.01.30,ABIBB 4.6 04.15.48,ET 5.25 04.15.29,TIAAGL 4.27 05.15.47 144A,CONE 2.15 11.01.30,GLPI 5.375 04.15.26,DLTR 4.2 05.15.28,MU 4.185 02.15.27,MPLX 4.5 04.15.38,BCRED 2.35 11.22.24 144A,JEF 4.15 01.23.30,HCA 4.125 06.15.29,DAL 4.75 10.20.28 144A,ABC 3.45 12.15.27,VMC 3.5 06.01.30,AVGO 3.625 01.15.24,ARCC 3.875 01.15.26,AL 2.875 01.15.26 MTN,HYNMTR 0.8 01.08.24 144A,DIS 1.75 01.13.26,LVLT 3.4 03.01.27 144A,BA 3.75 02.01.50,ABBV 4.25 11.21.49,WMB 2.6 03.15.31,DB V2.311 11.16.27,V 2.7 04.15.40,PRU V3.7 10.01.50,BRASKM 4.5 01.31.30 144A,T 3.1 02.01.43,UHS 2.65 10.15.30 144A,RPRX 1.75 09.02.27,EQIX 1.55 03.15.28,KMI 3.6 02.15.51,VTRS 4 06.22.50,ORCL 3.95 03.25.51,AER 3.65 07.21.27,CVS 4.3 03.25.28,BAC 3.248 10.21.27 MTN,DELL 3.45 12.15.51 144A,T 3.5 06.01.41,MSI 2.3 11.15.30,ORCL 2.3 03.25.28,MGLLNS 4.279 03.15.32 144A,BMY 2.55 11.13.50,DELL 8.35 07.15.46,n/a,SUM
07/09/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,1.99,1.92,1.9,1.79,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,1.19,1.17,1.16,1.15,1.15,1.15,1.14,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,0.0,1.92,1.9,0.0,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,0.0,1.17,1.16,1.15,1.15,1.15,0.0,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,1.99,1.79,1.19,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,0.0,1.92,1.9,0.0,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,0.0,1.17,1.16,1.15,1.15,1.15,0.0,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,1.99,1.79,1.19,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,0.0,1.92,1.9,0.0,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,0.0,1.17,1.16,1.15,1.15,1.15,0.0,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,1.99,1.79,1.19,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,0.0,1.92,1.9,0.0,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,0.0,1.17,1.16,1.15,1.15,1.15,0.0,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,1.99,1.79,1.19,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,2.43,2.43,2.17,2.16,2.16,2.16,2.09,2.04,2.04,2.03,2.03,2.02,1.99,0.0,1.92,1.9,0.0,1.71,1.68,1.57,1.56,1.53,1.53,1.52,1.51,1.5,1.47,1.46,1.45,1.44,1.43,1.3,1.27,0.0,1.17,1.16,1.15,1.15,1.15,0.0,1.11,1.1,1.09,1.09,1.08,1.07,1.07,1.06,1.05,1.05,1.05,1.04,1.03,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.94,0.77,0.6,0.59,1.99,1.79,1.19,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,2.45,2.45,2.22,2.19,2.18,2.19,2.12,2.07,2.06,2.06,2.07,2.05,2.03,0.0,1.94,1.92,0.0,1.73,1.71,1.59,1.58,1.55,1.55,1.54,1.53,1.53,1.49,1.47,1.47,1.46,1.46,1.33,1.29,0.0,1.2,0.0,1.18,1.17,1.18,0.0,1.12,1.12,1.1,1.1,1.1,1.08,1.09,1.08,1.07,1.06,1.06,1.06,1.05,1.04,1.03,1.04,1.03,1.03,1.01,1.01,1.0,1.01,1.0,1.0,0.99,0.98,0.97,0.99,0.97,0.96,0.78,0.61,0.6,2.05,0.24,1.2,1.15,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,2.45,2.45,2.22,2.19,2.18,2.19,2.12,2.07,2.06,2.06,2.07,2.05,2.03,0.0,1.94,1.92,0.0,1.73,1.71,1.59,1.58,1.55,1.55,1.54,1.53,1.53,1.49,1.47,1.47,1.46,1.46,1.33,1.29,0.0,1.2,0.0,1.18,1.17,1.18,0.0,1.12,1.12,1.1,1.1,1.1,1.08,1.09,1.08,1.07,1.06,1.06,1.06,1.05,1.04,1.03,1.04,1.03,1.03,1.01,1.01,1.0,1.01,1.0,1.0,0.99,0.98,0.97,0.99,0.97,0.96,0.78,0.61,0.6,2.05,0.24,1.2,1.15,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,2.45,2.45,2.22,2.19,2.18,2.19,2.12,2.07,2.06,0.0,2.07,2.05,2.03,0.0,1.94,1.92,0.0,1.73,1.71,1.59,1.58,1.55,1.55,1.54,1.53,1.53,1.49,1.47,1.47,1.46,1.46,1.33,1.29,0.0,1.2,0.0,1.18,1.17,1.18,0.0,1.12,1.12,1.1,1.1,1.1,1.08,1.09,1.08,1.07,1.06,1.06,1.06,1.05,1.04,1.03,1.04,1.03,1.03,1.01,1.01,1.0,1.01,1.0,1.0,0.99,0.98,0.97,0.99,0.97,0.96,0.78,0.61,0.6,2.05,0.24,1.2,1.15,1.2,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,2.45,2.45,2.22,2.19,2.18,2.19,2.12,2.07,2.06,0.0,2.07,2.05,2.03,0.0,1.94,1.92,0.0,1.73,1.71,1.59,1.58,1.55,1.55,1.54,1.53,1.53,1.49,1.47,1.47,1.46,1.46,1.33,1.29,0.0,1.2,0.0,1.18,1.17,1.18,0.0,1.12,1.12,1.1,1.1,1.1,1.08,1.09,1.08,1.07,1.06,1.06,1.06,1.05,1.04,1.03,1.04,1.03,1.03,1.01,1.01,1.0,1.01,1.0,1.0,0.99,0.98,0.97,0.99,0.97,0.96,0.78,0.61,0.6,2.05,0.24,1.2,1.15,1.2,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
