,014680,CSTM,SHW,SIKA,AMAT,HXL,CC,AKE,CBT,NGVT,AXTA,6594,AKZA,PPG,336370,RPM,SOLB,010060,MTRN,OLED,VIEW,VREX,MRN,272290,KOPN,NEO,036930,MMAT,AKTS,2878,n/a,108320.KQ,4112.T,108320,4112,SUM
11/08/2021,5.46,5.03,4.96,4.96,4.91,4.7,4.59,4.57,4.52,4.48,4.31,4.25,4.14,4.05,4.03,4.03,4.03,3.85,3.51,3.32,2.56,2.03,1.44,1.17,1.11,1.03,0.88,0.78,0.75,0.42,0.14,0.0,0.0,0.0,0.0,100.01
11/09/2021,5.46,5.03,4.96,4.96,4.91,4.7,4.59,4.57,4.52,4.48,4.31,4.25,4.14,4.05,4.03,4.03,4.03,3.85,3.51,3.32,2.56,2.03,1.44,1.17,1.11,1.03,0.88,0.78,0.75,0.42,0.14,0.0,0.0,0.0,0.0,100.01
11/10/2021,5.46,5.03,4.96,4.96,4.91,4.7,4.59,4.57,4.52,4.48,4.31,4.25,4.14,4.05,4.03,4.03,4.03,3.85,3.51,3.32,2.56,2.03,1.44,1.17,1.11,1.03,0.88,0.78,0.75,0.42,0.14,0.0,0.0,0.0,0.0,100.01
11/11/2021,5.43,5.04,4.98,4.98,4.89,4.64,4.46,4.65,4.57,4.42,4.29,4.22,4.15,4.03,4.09,4.02,4.02,3.85,3.47,3.33,2.61,2.02,1.47,1.18,1.12,1.04,0.89,0.82,0.75,0.42,0.15,0.0,0.0,0.0,0.0,100.0
11/12/2021,5.54,4.99,5.02,5.01,5.0,4.66,4.44,4.62,4.45,4.3,4.29,4.2,4.16,4.0,4.38,4.05,4.0,3.88,3.45,3.28,2.53,2.01,1.45,1.15,1.08,1.01,0.88,0.81,0.74,0.48,0.16,0.0,0.0,0.0,0.0,100.01999999999998
11/15/2021,5.38,4.96,5.06,5.5,4.93,4.66,4.56,4.76,4.49,4.45,4.32,4.1,4.12,3.96,4.54,4.09,4.0,3.7,3.45,3.2,2.14,1.98,1.45,1.12,1.03,1.1,0.84,0.74,0.72,0.48,0.19,0.0,0.0,0.0,0.0,100.02
11/16/2021,4.2,4.29,4.43,4.81,4.86,4.65,5.01,4.35,4.63,4.52,4.48,4.39,4.31,4.26,4.0,4.55,4.31,3.8,2.93,3.99,1.74,1.69,0.0,1.0,0.9,0.98,0.78,2.11,0.63,0.0,0.22,2.56,0.61,0.0,0.0,99.99
11/17/2021,4.2,4.29,4.43,4.81,4.86,4.65,5.01,4.35,4.63,4.52,4.48,4.39,4.31,4.26,4.0,4.55,4.31,3.8,2.93,3.99,1.74,1.69,0.0,1.0,0.9,0.98,0.78,2.11,0.63,0.0,0.22,2.56,0.61,0.0,0.0,99.99
11/18/2021,4.07,4.26,4.47,4.82,4.86,4.73,5.02,4.29,4.65,4.52,4.47,4.44,4.3,4.31,4.15,4.61,4.32,3.76,2.97,3.89,1.66,1.58,0.0,1.05,0.88,0.97,0.81,2.1,0.63,0.0,0.21,2.57,0.6,0.0,0.0,99.96999999999996
11/19/2021,3.96,4.26,4.57,4.83,4.93,4.62,5.04,4.34,4.64,4.31,4.53,4.53,4.31,4.38,4.05,4.66,4.34,3.82,2.99,3.91,1.58,1.66,0.0,1.04,0.89,0.93,0.92,2.03,0.61,0.0,0.21,0.0,0.0,2.52,0.59,100.00000000000001
