,The Bank of New York Mellon Corporation 3.7%,Dominion Energy Inc 4.65%,Wells Fargo & Company 3.9%,Duke Energy Corp 4.88%,Citigroup Inc. 4%,HSBC Capital Funding Dollar I L.P. 10.18%,TransCanada Trust 5.5%,Bank of America Corporation 6.1%,Sumitomo Life Insurance Company 6.5%,MetLife Inc. 9.25%,The Charles Schwab Corporation 4%,Emera Inc 6.75%,Truist Financial Corporation 4.8%,Huntington Bancshares Incorporated 5.62%,"Prudential Financial, Inc. 3.7%",JPMorgan Chase & Co. 3.65%,Axa SA 6.38%,Discover Financial Services 6.12%,State Street Instl US Govt MMkt Premier,MetLife Inc. 3.85%,Cloverie Plc Secd Mtn FRN 5.62%,NiSource Inc. 5.65%,Argentum Netherlands B.V. 5.62%,Enbridge Incorporation 6%,"Goldman Sachs Group, Inc. 5.5%","Prudential Financial, Inc. 5.62%",Wells Fargo & Company 5.88%,BP Capital Markets plc 4.38%,JPMorgan Chase & Co Deposit Shs Repr 1/10th Non-Cum Perp Pfd Shs Series -S-,Vodafone Group plc 7%,The Charles Schwab Corporation 5.38%,Nippon Life Insurance Company 2.75%,Lloyds Bank plc 12%,Argentum Netherlan 5.12%,JPMorgan Chase & Co DR,Meiji Yasuda Life Insurance Co 5.2%,Sumitomo Life Insurance Company 3.38%,Citigroup Inc. 5.95%,The Allstate Corporation 5.75%,Voya Financial Inc 6.12%,Capital One Financial Corporation 3.95%,"Stanley Black & Decker, Inc. 4%",Enterprise Products Operating LP 5.25%,Bank of Nova Scotia 4.9%,Bank Montreal Que 4.8%,Equitable Holdings Inc 4.95%,CMS Energy Corporation 3.75%,Citizens Financial Group Inc 5.65%,CMS Energy Corporation 4.75%,Citizens Financial Group Inc 6.38%,Southern Company 4%,M&G Plc 6.5%,Scentre Group Trust 2 5.12%,Citizens Financial Group Inc 4%,Enbridge Incorporation 5.75%,BNP Paribas 7.2%,SVB Financial Group 4%,Huntington Bancshares Incorporated 4.45%,Citigroup Inc. 3.88%,"American International Group, Inc. 5.75%",Truist Financial Corporation 4.95%,Ally Financial Inc FXDFR PRF PERPETUAL USD 1000 - Ser B,"Goldman Sachs Group, Inc. 3.8%",Keycorp 5%,Fifth Third Bancorp 4.5%,Ally Financial Inc. 4.7%,Zurich Finance (Ireland) DAC 3%,Scentre Group Trust 2 4.75%,Bank of America Corp Pfd,The Bank of New York Mellon Corporation 4.7%,Comerica Incorporated 5.62%,SVB Financial Group 4.1%,Southern Company 3.75%,688202.SS,Usd,"Goldman Sachs Group, Inc. 1%","Goldman Sachs Group, Inc. 3.65%",American Express Company 3.55%,BK V3.7 PERP H,D V4.65 PERP B,WFC V3.9 PERP BB,AXP V3.55 PERP,SCHW V4 PERP I,DUK V4.875 PERP,USB V3.7 PERP,PRU V3.7 10.01.50,C V4 PERP W,HSBC V10.176 PERP REGS,TRPCN V5.5 09.15.79,SUMILF V6.5 09.20.73 144A,TFC V4.8 PERP N,MET 9.25 04.08.38,EMACN V6.75 06.15.76 16-A,HBAN V5.625 PERP F,JPM V3.65 PERP KK,MET V3.85 PERP G,DFS V6.125 PERP D,AXASA V6.379 PERP 144A,C V3.875 PERP,GVMXX,PRU V5.625 06.15.43,GS V5.5 PERP Q,ZURNVX V5.625 06.24.46 EMTN,NI V5.65 PERP,SRENVX V5.625 08.15.52,ENBCN V6 01.15.77 16-A,WFC V5.875 PERP U,BPLN V4.375 PERP,JPM V6.75 PERP S,VOD V7 04.04.79,BNS V4.9 PERP,GS V4.125 PERP V,SCHW V5.375 PERP G,ALLY V4.7 PERP B,SIVB V4.25 PERP D,NIPLIF V2.75 01.21.51 144A,COF V3.95 PERP M,SUMILF V3.375 04.15.81 144A,BAC V4.375 PERP RR,JPM V6 PERP R,ZURNVX V5.125 06.01.48,MYLIFE V5.2 10.20.45 144A,EQH V4.95 PERP B,VOYA V6.125 PERP A,ALL V5.75 08.15.53 B,SWK V4 03.15.60,EPD V5.25 08.16.77 E,MTB V3.5 PERP,BMO V4.8 PERP,AQNCN V4.75 01.18.82,AEP V3.875 02.15.62,CFG V5.65 PERP F,CMS V4.75 06.01.50,LIBMUT V4.125 12.15.51 144A,DUK V3.25 01.15.82,CFG V6.375 PERP C,CMS V3.75 12.01.50,BK V3.75 PERP I,SO V4 01.15.51 B,NIPLIF V2.9 09.16.51 144A,C V5.95 PERP P,SIVB V4 PERP C,SCGAU V5.125 09.24.80 144a,ENBCN V5.75 07.15.80 20-A,PNC V3.4 PERP T,CFG V4 PERP G,HBAN V4.45 PERP G,BPLN V4.875 PERP,GS V3.65 PERP U,TFC V4.95 PERP P,AIG V5.75 04.01.48 A-9,GS V3.8 PERP T,SCGAU V4.75 09.24.80 144A,FITB V4.5 PERP L,ZURNVX V3 04.19.51 EMTN,BAC V6.3 PERP DD,BK V4.7 PERP G,CMA V5.625 PERP,ALLY V4.7 PERP C,n/a,BAC V6.125 PERP TT,D V4.35 PERP C,SUM
07/09/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,4.36,4.04,3.33,2.75,2.66,2.56,2.55,2.39,2.37,2.36,2.34,2.24,2.24,2.23,2.13,1.99,1.97,1.96,1.89,1.87,1.8,1.79,1.78,1.77,1.75,1.72,1.64,1.57,1.53,1.52,1.41,1.34,1.29,1.28,1.25,1.21,1.19,1.17,1.16,1.15,1.15,1.13,1.12,1.06,0.98,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.68,0.64,0.63,0.61,0.51,0.49,0.45,0.38,0.36,0.3,0.28,0.28,0.25,0.25,0.22,0.19,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,4.38,4.04,3.34,2.76,2.66,2.57,2.57,2.39,2.36,2.37,2.35,2.26,2.27,2.25,2.14,2.0,1.97,1.96,1.53,2.14,1.78,1.75,1.76,1.77,1.76,1.71,1.64,1.57,1.53,1.53,1.42,1.34,1.27,1.26,1.25,1.2,1.2,1.17,1.15,1.15,1.16,1.13,1.11,1.06,0.97,0.96,0.94,0.94,0.92,0.83,0.79,0.72,0.72,0.71,0.69,0.67,0.65,0.63,0.61,0.51,0.49,0.45,0.38,0.35,0.3,0.29,0.27,0.25,0.25,0.22,0.19,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
