,EWW,MXN,USD,MXN.1,MXN.2,688185.SS,n/a,SUM
07/09/2021,99.61,0.35,0.06,0.0,-0.01,0.0,0.0,100.01
08/25/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
09/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
