,GOVT,ICSH,FTEC,FHLC,QQQM,ITOT,FDIS,FMAT,VGSH,USDU,SUM
12/22/2021,39.79,24.87,19.98,15.35,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/23/2021,40.03,24.99,19.71,15.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/24/2021,39.69,24.86,20.16,15.3,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/27/2021,39.56,24.74,20.31,15.39,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/28/2021,39.56,24.74,20.31,15.39,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/29/2021,39.59,24.65,20.35,15.41,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/30/2021,39.24,24.59,20.7,15.47,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/31/2021,39.24,24.59,20.7,15.47,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/03/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/03/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/04/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/05/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/06/2022,19.22,19.64,20.54,15.57,20.02,5.01,0.0,0.0,0.0,0.0,100.0
01/07/2022,0.0,13.76,20.57,15.33,40.2,10.13,0.0,0.0,0.0,0.0,99.99
01/10/2022,0.0,0.0,19.95,0.0,40.0,10.17,15.01,14.87,0.0,0.0,100.0
01/11/2022,40.43,10.14,19.82,0.0,0.0,0.0,14.95,14.67,0.0,0.0,100.01
01/12/2022,40.56,10.2,19.72,0.0,0.0,0.0,14.78,14.74,0.0,0.0,100.0
01/13/2022,40.56,10.2,19.72,0.0,0.0,0.0,14.78,14.74,0.0,0.0,100.0
01/14/2022,40.47,10.16,19.94,0.0,0.0,0.0,14.76,14.67,0.0,0.0,100.0
01/17/2022,40.35,10.14,19.94,0.0,0.0,0.0,14.8,14.78,0.0,0.0,100.01
01/18/2022,40.77,10.21,19.55,0.0,0.0,0.0,14.67,14.81,0.0,0.0,100.01000000000002
01/19/2022,40.77,10.21,19.55,0.0,0.0,0.0,14.67,14.81,0.0,0.0,100.01000000000002
01/20/2022,40.77,10.21,19.55,0.0,0.0,0.0,14.67,14.81,0.0,0.0,100.01000000000002
01/21/2022,40.92,10.37,19.51,0.0,0.0,0.0,14.49,14.71,0.0,0.0,100.0
01/24/2022,41.24,10.42,19.32,0.0,0.0,0.0,14.3,14.73,0.0,0.0,100.01
01/25/2022,41.59,10.49,19.21,0.0,0.0,0.0,14.09,14.61,0.0,0.0,99.99
01/26/2022,42.19,10.6,18.99,0.0,0.0,0.0,13.86,14.36,0.0,0.0,100.0
01/27/2022,42.19,10.6,18.99,0.0,0.0,0.0,13.86,14.36,0.0,0.0,100.0
01/28/2022,42.19,10.6,18.99,0.0,0.0,0.0,13.86,14.36,0.0,0.0,100.0
01/31/2022,42.06,43.79,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,99.99
02/01/2022,42.06,43.79,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,99.99
02/02/2022,42.06,43.79,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,99.99
02/03/2022,42.05,43.74,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,99.99
02/04/2022,41.95,43.67,0.0,0.0,0.0,0.0,0.0,14.38,0.0,0.0,100.0
02/07/2022,41.84,43.72,0.0,0.0,0.0,0.0,0.0,14.44,0.0,0.0,100.0
02/08/2022,41.84,43.72,0.0,0.0,0.0,0.0,0.0,14.44,0.0,0.0,100.0
02/09/2022,41.78,43.91,0.0,0.0,0.0,0.0,0.0,14.31,0.0,0.0,100.0
02/10/2022,41.81,43.93,0.0,0.0,0.0,0.0,0.0,14.26,0.0,0.0,100.0
02/11/2022,41.66,43.85,0.0,0.0,0.0,0.0,0.0,14.49,0.0,0.0,100.0
02/14/2022,41.38,43.9,0.0,0.0,0.0,0.0,0.0,14.73,0.0,0.0,100.01
02/15/2022,41.38,43.9,0.0,0.0,0.0,0.0,0.0,14.73,0.0,0.0,100.01
02/16/2022,41.63,43.86,0.0,0.0,0.0,0.0,0.0,14.52,0.0,0.0,100.01
02/17/2022,41.63,43.86,0.0,0.0,0.0,0.0,0.0,14.52,0.0,0.0,100.01
02/18/2022,41.35,43.92,0.0,0.0,0.0,0.0,0.0,14.73,0.0,0.0,100.0
02/21/2022,41.53,43.87,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,100.0
03/21/2022,41.37,28.59,0.0,0.0,0.0,0.0,0.0,0.0,15.07,14.97,100.0
