,B 0 12/02/21,United States Treasury Bill,United States Treasury Bill.1,Ford Motor Credit Co LLC,Bausch Health Cos Inc,NRG Energy Inc,Ford Motor Credit Co LLC.1,Altice Financing SA,Stars Group Holdings BV / Stars Group US Co-Borrower LLC,Sirius XM Radio Inc,Vistra Operations Co LLC,CSC Holdings LLC,United Rentals North America Inc,Sprint Corp,AGPXX,Enviva Partners LP / Enviva Partners Finance Corp,Genworth Holdings Inc,Starwood Property Trust Inc,Open Text Corp,Elanco Animal Health Inc,Sprint Communications Inc,Yum! Brands Inc,NRG Energy Inc.1,Cash/Receivables/Payables,United States Treasury Bills 0%,B 0 07/22/21,B 0 08/19/21,Ford Motor Credit Company LLC 5.88%,Bausch Health Companies Inc 9%,"NRG Energy, Inc. 6.62%",Ford Motor Credit Company LLC 3.81%,Stars Group Holdings BV / Stars Group (US) Co-Borrower LLC 7%,Vistra Operations Co LLC 5.5%,"CSC Holdings, LLC 6.75%",Sirius Xm Radio Inc 5.38%,"United Rentals (North America), Inc. 5.88%","T-Mobile US, Inc. 7.25%",Enviva Partners LP / Enviva Partners Finance Corp 6.5%,Genworth Financial Inc. 7.62%,"Starwood Property Trust, Inc. 5%",Elanco Animal Health Inc 4.91%,"Sprint Communications, Inc. 11.5%",Altice Financing S.A. 7.5%,YUM Brands Inc 3.75%,Securities Lending - Bnym,Cash,BHCCN 9 12/15/25 144A,NRG 6.625 01/15/27,F 3.813 10/12/21,URI 5.875 09/15/26,SIRI 5.375 07/15/26 144A,VST 5.5 09/01/26 144A,CSCHLD 6.75 11/15/21,S 7.25 09/15/21,EVA 6.5 01/15/26 144A,STWD 5 12/15/21,ELAN 3.912 08/27/21,S 11.5 11/15/21,n/a,B 0 12.02.21,BHCCN 9 12.15.25 144A,F 3.813 10.12.21,VST 5.5 09.01.26 144A,CSCHLD 6.75 11.15.21,EVA 6.5 01.15.26 144A,S 11.5 11.15.21,STWD 5 12.15.21,URI 5.875 09.15.26,SIRI 5.375 07.15.26 144A,S 7.25 09.15.21,NRG 6.625 01.15.27,SUM
07/09/2021,35.8,21.55,6.81,3.93,2.68,2.59,2.28,2.15,2.14,2.13,2.12,2.11,2.1,1.95,1.72,1.6,1.47,1.45,1.12,1.04,0.9,0.62,0.15,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77,21.31,7.09,3.88,2.76,2.7,2.28,2.22,2.2,2.19,2.18,2.18,2.02,1.66,1.52,1.52,1.08,0.94,0.7,0.65,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77,21.31,7.09,3.88,2.76,2.7,2.28,2.22,2.2,2.19,2.18,2.18,2.02,1.66,1.52,1.52,1.08,0.94,0.7,0.65,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,63.36,7.28,0.0,2.36,2.82,2.59,0.0,0.0,0.0,2.15,2.26,2.12,2.23,1.99,7.11,1.7,0.0,1.55,0.0,1.11,0.91,0.0,0.0,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,72.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,2.5,2.08,2.03,2.02,2.02,1.99,1.87,1.53,1.38,0.98,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,76.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,2.67,2.22,2.17,2.16,2.16,2.13,2.0,1.64,1.47,1.05,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,76.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,2.67,2.22,2.17,2.16,2.16,2.13,2.0,1.64,1.47,1.05,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,76.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.72,2.23,2.18,2.17,2.17,2.13,1.82,1.64,1.48,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,76.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.72,2.23,2.18,2.17,2.17,2.13,1.82,1.64,1.48,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,79.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.9,2.25,2.19,0.0,2.19,2.15,1.83,1.66,1.49,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
