,AGPXX,B 0 12/02/21,B 0 09/09/21,B 0 01/27/22,Invesco US Dollar Liquidity Portfolio,NYMEX Light Sweet Crude Oil Future,NYMEX Reformulated Gasoline Blendstock for Oxygen Blending R,B 0 08/12/21,XIB 0 10/07/21,B 0 11/04/21,NYMEX NY Harbor ULSD Futures,ICE Brent Crude Oil Future,LME Copper Future,COMEX Gold 100 Troy Ounces Future,NYBOT CSC Number 11 World Sugar Future,CBOT Soybean Future,LME Primary Aluminum Future,LME Zinc Future,CBOT Wheat Future,CBOT Corn Future,NYMEX Henry Hub Natural Gas Futures,CBOT Corn Future.1,NYMEX Henry Hub Natural Gas Futures.1,COMEX Silver Future,Cash/Receivables/Payables,Cash/Receivables/Payables.1,Pay CB CIXBICPI CITI_US_DVPS 8/3/2021,Pay BOFA MERRILL LYNCH COMMODITY MLBXIVMB EXCESS RETURN STRATEGY MLBXIVMB BAML_US_DVPS 8/3/2021,Pay RBC ENHANCED PS01 ER RBCAPS01 RBC_US_DVPS 8/3/2021,Pay MANAGED COMMODITY STRATEGY GSEBA001 GSEBA001 GOLD_US_DVPS 8/3/2021,Pay MORGAN STANLEY MSCYIZ01 MSCYIZ01 MORG_US_DVPS 8/3/2021,Pay MACQUARIE INDEX MQCP322E MQCP322E MACQ_US_DVPS 8/3/2021,B 0 10/07/21,PowerShares NXQ,United States Treasury Bills 0%,CMBR 0 09/09/21,XIB 0 01/27/22,1905.TW,XIB 0 11/04/21,n/a,B 0 02/03/22,SUM
07/09/2021,47.23,11.46,9.82,9.82,9.45,3.44,3.32,3.28,3.28,3.27,3.15,3.04,1.29,1.19,1.18,1.14,1.13,0.94,0.9,0.73,0.54,0.48,0.37,0.34,0.09,0.0,-0.21,-0.36,-0.4,-0.4,-0.4,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.7
07/12/2021,46.94,11.31,9.7,9.7,6.99,3.48,3.39,3.23,0.0,3.23,3.26,3.07,1.31,1.2,1.14,1.15,1.12,0.96,0.9,1.17,0.92,0.0,0.0,0.34,0.18,0.0,-0.14,-0.23,-0.26,-0.27,-0.26,-0.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5
07/13/2021,46.94,11.31,9.7,9.7,6.99,3.48,3.39,3.23,0.0,3.23,3.26,3.07,1.31,1.2,1.14,1.15,1.12,0.96,0.9,1.17,0.92,0.0,0.0,0.34,0.18,0.0,-0.14,-0.23,-0.26,-0.27,-0.26,-0.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5
07/14/2021,46.92,0.0,5.65,5.65,0.0,0.0,0.0,2.42,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,24.81,9.69,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,46.94,11.31,9.7,9.7,7.62,3.47,3.37,3.23,0.0,3.23,3.25,3.06,1.29,1.2,1.12,1.17,1.11,0.95,0.93,1.2,0.93,0.0,0.0,0.34,0.75,0.0,-0.14,-0.23,-0.25,-0.26,-0.25,-0.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.70999999999998
07/16/2021,46.4,11.18,9.59,9.58,8.27,3.49,3.4,3.2,0.0,3.2,3.26,3.08,1.28,1.19,1.12,1.16,1.12,0.94,0.91,1.21,0.91,0.0,0.0,0.34,0.03,0.0,-0.05,-0.08,-0.09,-0.09,-0.09,-0.09,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.56999999999998
07/19/2021,47.08,11.35,9.73,9.72,8.76,3.39,3.31,3.24,0.0,3.24,3.22,3.0,1.31,1.21,1.13,1.2,1.13,0.95,0.97,1.15,0.95,0.0,0.0,0.34,0.0,0.0,-0.16,-0.26,-0.3,-0.3,-0.3,-0.3,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
07/20/2021,46.82,9.72,5.67,5.67,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,24.83,2.43,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,46.82,0.0,5.67,5.67,0.0,0.0,0.0,2.43,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,24.83,9.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,48.92,11.85,10.16,10.16,8.53,3.3,3.22,3.39,0.0,3.39,3.16,2.94,1.33,1.25,1.16,1.24,1.14,1.01,1.03,1.19,1.0,0.0,0.0,0.34,0.19,0.0,-0.49,-0.81,-0.92,-0.91,-0.92,-0.92,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.32
07/23/2021,48.39,11.72,10.05,10.04,4.26,3.04,2.92,3.35,0.0,3.35,2.9,2.67,1.24,1.12,1.08,1.12,1.05,0.91,0.93,1.04,0.9,0.0,0.0,0.31,0.0,0.0,-0.4,-0.66,-0.75,-0.75,-0.75,-0.75,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.68
07/26/2021,46.0,11.51,0.0,9.87,6.24,3.49,3.4,3.29,0.0,3.29,3.31,3.09,1.42,1.22,1.19,1.21,1.22,1.05,1.0,1.14,1.01,0.0,0.0,0.33,1.32,0.0,-0.14,-0.23,-0.25,-0.26,-0.25,-0.26,3.29,0.0,0.0,9.87,0.0,0.0,0.0,0.0,0.0,117.37
07/27/2021,46.85,11.29,0.0,9.68,7.96,3.7,3.61,3.23,0.0,3.23,3.48,3.27,1.47,1.28,1.29,1.26,1.26,1.09,1.04,1.17,1.09,0.0,0.0,0.35,0.39,0.0,-0.12,-0.2,-0.22,-0.23,-0.22,-0.23,3.23,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,119.68
07/28/2021,46.84,0.0,0.0,5.64,0.0,0.0,0.0,2.42,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,24.94,9.68,5.64,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,47.48,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,24.94,9.46,5.52,5.52,0.0,0.0,0.0,0.0,100.0
07/30/2021,47.42,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,24.81,9.52,5.55,5.55,0.0,0.0,0.0,0.0,99.99
08/02/2021,45.44,0.0,5.54,5.54,0.0,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,25.26,9.5,0.0,0.0,1.58,0.0,0.0,0.0,100.0
08/03/2021,47.18,11.12,9.53,9.53,8.9,3.35,3.3,3.18,0.0,3.18,3.18,2.97,1.47,1.15,1.13,1.12,1.28,1.08,0.95,1.02,0.98,0.0,0.0,0.31,0.1,0.0,0.04,0.07,0.08,0.07,0.08,0.07,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.59999999999997
08/04/2021,47.18,11.12,9.53,9.53,8.9,3.35,3.3,3.18,0.0,0.0,3.18,2.97,1.47,1.15,1.13,1.12,1.28,1.08,0.95,1.02,0.98,0.0,0.0,0.31,0.1,0.0,0.04,0.07,0.08,0.07,0.08,0.07,3.18,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,119.59999999999997
