,EQC,HE,TRNO,MGEE,NSA,BKH,DEA,POR,IDA,WTM,PSB,NHC,ADC,SAFT,ANAT,OGS,MMS,GTY,HR,HLI,LANC,NFG,LXP,NEU,EIG,WTS,RYN,RDWR,SLGN,STAG,JJSF,AMSF,FLO,ILPT,THG,LNN,CHCT,MNR,KREF,LAND,COR,SBR,IRT,SXT,GOOD,DOC,SIGI,SMP,CBU,NCBS,CFFN,SBSI,CATC,SYKE,CHCO,NBTB,AROW,HMN,EBF,QTS,HSTM,PINC,HTLD,NFBK,KRNY,FMBH,NPK,NWBI,EXLS,CCOI,CUZ,OFC,HONE,DHIL,MANT,FELE,GPK,NFH,BCPC,WAFD,WERN,FLIC,SCL,WABC,EBSB,EXPO,RLI,THFF,CAC,ICFI,SCHL,FCPT,BRMK,CLAR,ALLT,WASH,SATS,CSWI,CVBF,RBCAA,TRS,ONB,CBZ,CTBI,FCBC,PBH,NHI,VIAV,HPP,BRKL,SASR,AAON,PLXS,LTC,BMTC,HTBI,WDFC,ALG,FCFS,GHC,WRE,WIRE,WSBF,TMP,BMI,PRK,BMRC,GRC,UNF,AXS,TCBK,PCH,BUSE,JCOM,TWNK,SRCE,FULT,QCRH,ALSN,ALRS,FMNB,ISBC,NEOG,STC,BRC,MWA,BFC,ASH,GABC,WINA,GSBC,FCN,FWRD,STBA,TRMK,GATX,WEN,JW.A,TRC,BLKB,LBAI,NOVT,WTBA,HTBK,PJT,ACIW,CVLT,SAIC,CRI,CWST,CCF,ASB,PRFT,LBC,AWI,PEBO,MGRC,TRST,SPNT,POWI,NVMI,EXP,CSGS,FIBK,SSD,UMBF,IDCC,SFL,MLR,EVTC,KBAL,SFNC,OSIS,FSS,HFWA,HTH,FBMS,CPF,WSBC,FORR,NTCT,ICUI,WMK,ARGO,MOFG,SFST,JRVR,STATE STREET INSTITUTIONAL LIQ STATE STR,BWB,FRPH,RGP,HOLI,UMPQ,LKFN,CASS,RMBS,GEF,BANR,VMI,SYBT,MODV,MGIC,n/a,SWCH,HUBG,KLIC,KAI,SPSC,MUSA,CALM,MSGS,PFS,NBHC,HTLF,AMSWA,VVV,RUSHA,ZD,CSV,INVA,MLI,INDB,ABTX,DORM,KBR,VGR,FCF,SUM
07/09/2021,1.7,0.81,0.65,0.64,0.62,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.55,0.53,0.53,0.52,0.52,0.5,0.5,0.5,0.49,0.48,0.47,0.45,0.45,0.45,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.05000000000001
07/12/2021,1.71,0.81,0.66,0.66,0.62,0.6,0.59,0.58,0.58,0.56,0.58,0.57,0.56,0.53,0.54,0.53,0.53,0.5,0.5,0.49,0.5,0.49,0.47,0.44,0.44,0.45,0.44,0.43,0.43,0.42,0.41,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.33,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.22,0.22,0.0,0.0,0.23,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21000000000001
07/13/2021,1.71,0.81,0.66,0.66,0.62,0.6,0.59,0.58,0.58,0.56,0.58,0.57,0.56,0.53,0.54,0.53,0.53,0.5,0.5,0.49,0.5,0.49,0.47,0.44,0.44,0.45,0.44,0.43,0.43,0.42,0.41,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.33,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.22,0.22,0.0,0.0,0.23,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21000000000001
07/14/2021,1.71,0.81,0.66,0.66,0.62,0.6,0.59,0.57,0.58,0.55,0.57,0.56,0.55,0.52,0.54,0.52,0.53,0.5,0.5,0.49,0.5,0.48,0.47,0.45,0.44,0.44,0.45,0.43,0.43,0.42,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.3,0.31,0.31,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.0,0.0,0.22,0.22,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.22
07/15/2021,1.71,0.8,0.66,0.65,0.63,0.6,0.59,0.57,0.58,0.55,0.57,0.57,0.56,0.53,0.55,0.52,0.53,0.51,0.5,0.49,0.49,0.48,0.47,0.44,0.45,0.45,0.44,0.42,0.42,0.42,0.4,0.41,0.4,0.42,0.41,0.39,0.41,0.39,0.39,0.38,0.39,0.39,0.39,0.37,0.38,0.37,0.36,0.37,0.37,0.36,0.36,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.27,0.29,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.24,0.24,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.23,0.22,0.0,0.0,0.22,0.22,0.23,0.0,0.22,0.22,0.22,0.22,0.0,0.22,0.0,0.23,0.0,0.22,0.23,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.22000000000001
07/16/2021,1.73,0.8,0.66,0.65,0.63,0.6,0.59,0.58,0.58,0.55,0.57,0.57,0.56,0.52,0.56,0.52,0.53,0.5,0.5,0.5,0.5,0.48,0.48,0.45,0.45,0.45,0.44,0.44,0.42,0.43,0.4,0.41,0.4,0.42,0.41,0.39,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.37,0.38,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.35,0.34,0.33,0.33,0.34,0.32,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.3,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.26,0.29,0.28,0.28,0.27,0.28,0.29,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.28,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.22,0.24,0.24,0.25,0.24,0.23,0.23,0.24,0.24,0.23,0.25,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.0,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.0,0.22,0.0,0.22,0.23,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.37
07/19/2021,1.75,0.83,0.67,0.68,0.63,0.62,0.6,0.59,0.6,0.55,0.58,0.59,0.57,0.53,0.55,0.53,0.53,0.5,0.5,0.49,0.51,0.48,0.49,0.44,0.44,0.44,0.44,0.42,0.42,0.43,0.4,0.41,0.41,0.42,0.41,0.38,0.41,0.4,0.39,0.39,0.39,0.37,0.4,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.35,0.35,0.35,0.36,0.35,0.33,0.33,0.35,0.33,0.33,0.34,0.33,0.33,0.32,0.33,0.33,0.33,0.34,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.33,0.32,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.26,0.29,0.28,0.3,0.26,0.29,0.27,0.27,0.28,0.29,0.28,0.28,0.27,0.29,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.28,0.28,0.27,0.26,0.27,0.26,0.28,0.25,0.27,0.27,0.26,0.27,0.27,0.26,0.25,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.22,0.22,0.23,0.24,0.25,0.24,0.22,0.23,0.24,0.23,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.23,0.22,0.23,0.23,0.23,0.0,0.0,0.22,0.22,0.22,0.22,0.0,0.22,0.22,0.0,0.23,0.0,0.22,0.0,0.23,0.0,0.23,0.23,0.23,0.23,0.22,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.86
07/20/2021,1.76,0.83,0.67,0.69,0.64,0.63,0.6,0.6,0.61,0.56,0.59,0.6,0.57,0.54,0.56,0.54,0.53,0.51,0.51,0.49,0.51,0.48,0.49,0.45,0.44,0.44,0.44,0.42,0.42,0.44,0.41,0.42,0.42,0.43,0.41,0.38,0.41,0.41,0.4,0.39,0.4,0.37,0.41,0.36,0.39,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.35,0.34,0.36,0.35,0.33,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.33,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.26,0.29,0.28,0.29,0.25,0.29,0.27,0.27,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.28,0.25,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.28,0.24,0.24,0.24,0.24,0.25,0.25,0.23,0.22,0.25,0.22,0.22,0.23,0.24,0.25,0.24,0.22,0.23,0.24,0.23,0.24,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.22,0.22,0.0,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.23,0.22,0.0,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02000000000001
07/21/2021,1.76,0.83,0.67,0.69,0.64,0.63,0.6,0.6,0.61,0.56,0.59,0.6,0.57,0.54,0.56,0.54,0.53,0.51,0.51,0.49,0.51,0.48,0.49,0.45,0.44,0.44,0.44,0.42,0.42,0.44,0.41,0.42,0.42,0.43,0.41,0.38,0.41,0.41,0.4,0.39,0.4,0.37,0.41,0.36,0.39,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.35,0.34,0.36,0.35,0.33,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.33,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.26,0.29,0.28,0.29,0.25,0.29,0.27,0.27,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.28,0.25,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.28,0.24,0.24,0.24,0.24,0.25,0.25,0.23,0.22,0.25,0.22,0.22,0.23,0.24,0.25,0.24,0.22,0.23,0.24,0.23,0.24,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.22,0.22,0.0,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.23,0.22,0.0,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02000000000001
07/22/2021,1.76,0.83,0.67,0.69,0.64,0.63,0.6,0.6,0.61,0.56,0.59,0.6,0.57,0.54,0.56,0.54,0.53,0.51,0.51,0.49,0.51,0.48,0.49,0.45,0.44,0.44,0.44,0.42,0.42,0.44,0.41,0.42,0.42,0.43,0.41,0.38,0.41,0.41,0.4,0.39,0.4,0.37,0.41,0.36,0.39,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.35,0.34,0.36,0.35,0.33,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.33,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.26,0.29,0.28,0.29,0.25,0.29,0.27,0.27,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.28,0.25,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.28,0.24,0.24,0.24,0.24,0.25,0.25,0.23,0.22,0.25,0.22,0.22,0.23,0.24,0.25,0.24,0.22,0.23,0.24,0.23,0.24,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.23,0.23,0.23,0.23,0.0,0.0,0.22,0.22,0.22,0.0,0.22,0.22,0.22,0.0,0.23,0.0,0.0,0.23,0.22,0.0,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02000000000001
