,ANGL,TIP,IEF,IEI,TLT,FPE,JPHY,GBIL,FLRN,CLTL,FLOT,IBDM,IBDN,PCEF,HYEM,IVOL,AGG,PPG,UNP,MKC,JPM,WMT,APD,CI,DOW,VZ,C,BKLN,SHYG,Ford Motor Credit Company LLC 3.7%,PCY,PFF,LQD,PFXF,NKE,UPS,ZTS,DHR,TGT,AMT,FIV,WST,LLY,FCX,BX,CWB,EMLC,ADRA,NVSA,HCAQ,CRU,HCCC,ASAX,MACA,PSAG,TWLV,NBST,TWO V7.625 PERP B,JPT,CMO 7.5 PERP E,CUBI V6 PERP F,SINA,MFA 7.5 PERP B,VIG,VNQ,XLU,MDLZ,CB,KO,BAC,HYG,8150.T,CHTR,MMC,JSD,4282.T,FRA,IVH,RTX,IAGG,LGAC,GXII,WARR,B. Riley Principal 250 Merger Corp Class A,MACQ,BITE,JOFF,HHLA,DSAC,FLME,ALB,TWO,Two Harbors Investment Corp Conv Cum Red Pfd Registered Shs Series -B-,Capstead Mortgage Corp 7 1/2 % Cum Red Pfd Shs Series -E-,Customers Bancorp Inc F,MFA Financial Inc Pfd Shs Series -B-,AIF,BRIV,PG,BNDX,USB,CL,GLD,BDX,HON,CLX,KMB,SYK,AMGN,EMB,Ivy High Income Opportunities,BENE,SLCR,Merida Merger Corp I Ordinary Shares,PMVC,Global SPAC Partners Co Subunit (1 Ord Share Class A & 1/4 War),TMKR,QFTA,ISAA,EdtechX Holdings Acquisition Corp II Class A,CHPM,PUCK,LMAO,DUNE,AMAO,ITQ,OceanTech Acquisitions I Corp Class A,GAPA,BTAQ,KLAQ,ACEV,SWET,MACU,SHY,MCMJ,GLSPT,EDTX,OTEC,VIXY,KINZ,KRNL,TACA,SBEA,LNFA,INKA,SHAC,ATSPT,VHAQ,CLRM,ETAC,SUM
07/09/2021,12.83,7.35,4.46,4.44,4.35,2.67,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.98,1.75,1.6,1.56,1.43,1.42,1.42,1.42,1.42,1.41,1.41,1.41,1.4,1.38,1.37,1.34,1.3,1.03,0.97,0.94,0.81,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.66,0.64,0.59,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.35,0.35,0.34,0.34,0.34,0.34,0.19,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,13.82,9.32,4.38,4.34,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,1.51,1.77,4.68,1.78,0.0,0.0,1.73,0.0,0.0,1.74,1.72,1.76,1.7,1.33,1.31,1.27,0.67,1.71,1.64,0.69,0.22,0.22,0.22,0.22,0.22,0.0,0.66,0.22,0.22,0.0,0.22,5.48,0.0,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.34,0.34,0.33,0.33,0.0,0.33,0.38,0.34,0.26,1.77,1.76,1.76,1.7,1.41,0.33,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,13.82,9.32,4.38,4.34,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,1.51,1.77,4.68,1.78,0.0,0.0,1.73,0.0,0.0,1.74,1.72,1.76,1.7,1.33,1.31,1.27,0.67,1.71,1.64,0.69,0.22,0.22,0.22,0.22,0.22,0.0,0.66,0.22,0.22,0.0,0.22,5.48,0.0,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.34,0.34,0.33,0.33,0.0,0.33,0.38,0.34,0.26,1.77,1.76,1.76,1.7,1.41,0.33,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,13.83,9.31,4.37,4.34,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,1.52,1.78,4.68,1.77,0.0,0.0,1.76,0.0,0.0,1.74,1.75,1.75,1.71,1.33,1.31,1.27,0.67,1.71,1.63,0.69,0.22,0.22,0.22,0.22,0.22,0.0,0.66,0.22,0.22,0.0,0.22,5.5,0.0,0.52,0.52,0.53,0.52,0.53,0.52,0.52,0.52,0.52,0.52,0.34,0.34,0.33,0.33,0.0,0.33,0.38,0.35,0.26,1.77,1.77,1.77,1.71,1.41,0.0,0.22,0.22,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,13.81,9.33,4.37,4.34,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,1.51,1.78,4.67,1.77,0.0,0.0,1.78,0.0,0.0,1.74,1.75,1.75,1.73,1.33,1.31,1.27,0.67,1.71,1.63,0.69,0.22,0.22,0.22,0.22,0.22,0.0,0.66,0.22,0.22,0.0,0.23,5.48,0.0,0.52,0.52,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.34,0.34,0.33,0.33,0.0,0.33,0.38,0.35,0.26,1.77,1.79,1.77,1.74,1.41,0.0,0.21,0.22,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,13.81,9.33,4.37,4.34,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,1.51,1.78,4.67,1.77,0.0,0.0,1.78,0.0,0.0,1.74,1.75,1.75,1.73,1.33,1.31,1.27,0.67,1.71,1.63,0.69,0.22,0.22,0.22,0.22,0.22,0.0,0.66,0.22,0.22,0.0,0.23,5.48,0.0,0.52,0.52,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.34,0.34,0.33,0.33,0.0,0.33,0.38,0.35,0.26,1.77,1.79,1.77,1.74,1.41,0.0,0.21,0.22,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,13.76,2.98,10.99,4.4,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.91,3.81,1.57,0.0,1.56,1.57,0.0,1.56,1.59,1.56,1.59,1.58,1.35,1.33,1.29,1.58,2.28,2.03,0.7,0.44,0.43,0.45,0.44,0.45,0.0,0.67,0.44,0.44,0.0,0.43,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.7,0.65,0.54,0.0,0.0,0.0,1.53,1.43,0.0,0.42,0.0,0.0,0.0,0.0,0.33,1.55,1.45,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.46,0.35,0.34,0.34,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,13.75,2.99,11.05,4.41,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.9,3.83,1.57,0.0,1.6,1.54,0.0,1.55,1.58,1.51,1.59,1.55,1.35,1.32,1.29,1.59,2.28,2.04,0.7,0.44,0.43,0.45,0.45,0.44,0.0,0.67,0.44,0.44,0.0,0.45,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.35,0.34,0.33,0.0,0.33,0.69,0.65,0.55,0.0,0.0,0.0,1.5,1.43,0.0,0.42,0.0,0.0,0.0,0.0,0.33,1.53,1.45,0.53,0.53,0.53,0.0,0.53,0.53,0.53,0.53,0.53,0.53,0.45,0.34,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,13.75,2.99,11.05,4.41,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.9,3.83,1.57,0.0,1.6,1.54,0.0,1.55,1.58,1.51,1.59,1.55,1.35,1.32,1.29,1.59,2.28,2.04,0.7,0.44,0.43,0.45,0.45,0.44,0.0,0.67,0.44,0.44,0.0,0.45,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.69,0.65,0.55,0.0,0.0,0.0,1.5,1.43,0.0,0.42,0.0,0.0,0.0,0.0,0.33,1.53,1.45,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.45,0.34,0.34,0.34,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,13.75,2.99,11.05,4.41,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.9,3.83,1.57,0.0,1.6,1.54,0.0,1.55,1.58,1.51,1.59,1.55,1.35,1.32,1.29,1.59,2.28,2.04,0.7,0.44,0.43,0.45,0.45,0.44,0.0,0.67,0.44,0.44,0.0,0.45,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.35,0.34,0.33,0.0,0.33,0.69,0.65,0.55,0.0,0.0,0.0,1.5,1.43,0.0,0.42,0.0,0.0,0.0,0.0,0.33,1.53,1.45,0.53,0.53,0.53,0.0,0.53,0.53,0.53,0.53,0.53,0.53,0.45,0.34,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
