,JNK,HYG,PIMCO 0-5 Year High Yield Corp Bd ETF,Us Dollars,HYS,SPDR® Blmbg Barclays High Yield Bd ETF,n/a,ANGL,HYLB,SJNK,USHY,SUM
08/05/2021,32.9,32.95,32.89,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,0.0,32.95,0.0,1.27,32.9,32.88,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,16.53,16.5,0.0,0.0,0.0,0.0,0.73,16.64,16.54,16.54,16.53,100.01
09/08/2021,16.53,16.5,0.0,0.0,0.0,0.0,0.73,16.64,16.54,16.54,16.53,100.01
09/09/2021,16.53,16.5,0.0,0.0,0.0,0.0,0.73,16.64,16.54,16.54,16.53,100.01
09/10/2021,16.52,16.5,0.0,0.0,0.0,0.0,0.73,16.62,16.55,16.53,16.54,99.99
09/13/2021,16.58,16.58,0.0,0.0,0.0,0.0,0.55,16.57,16.58,16.57,16.58,100.00999999999998
09/14/2021,16.58,16.57,0.0,0.0,0.0,0.0,0.55,16.57,16.58,16.57,16.58,100.0
09/15/2021,16.58,16.57,0.0,0.0,0.0,0.0,0.55,16.57,16.58,16.57,16.58,100.0
09/16/2021,16.58,16.58,0.0,0.0,0.0,0.0,0.55,16.57,16.56,16.56,16.59,99.99
09/17/2021,16.57,16.58,0.0,0.0,0.0,0.0,0.55,16.59,16.57,16.56,16.59,100.01
09/20/2021,16.56,16.55,0.0,0.0,0.0,0.0,0.61,16.59,16.56,16.55,16.58,100.0
09/21/2021,16.56,16.55,0.0,0.0,0.0,0.0,0.61,16.58,16.57,16.55,16.58,100.0
09/22/2021,16.56,16.55,0.0,0.0,0.0,0.0,0.61,16.58,16.57,16.55,16.58,100.0
09/23/2021,16.56,16.55,0.0,0.0,0.0,0.0,0.61,16.58,16.57,16.55,16.58,100.0
09/24/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.34,16.62,16.6,16.62,16.62,100.0
09/27/2021,16.61,16.6,0.0,0.0,0.0,0.0,0.34,16.61,16.61,16.61,16.62,100.0
09/28/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.34,16.61,16.6,16.62,16.62,99.99
09/29/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.34,16.61,16.6,16.62,16.62,99.99
09/30/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.34,16.61,16.6,16.62,16.62,99.99
10/01/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.34,16.56,16.6,16.66,16.63,99.99
10/04/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.33,16.58,16.6,16.66,16.62,99.99
10/05/2021,16.62,16.61,0.0,0.0,0.0,0.0,0.33,16.57,16.61,16.65,16.61,100.0
10/06/2021,16.62,16.61,0.0,0.0,0.0,0.0,0.33,16.57,16.61,16.65,16.61,100.0
10/07/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.33,16.57,16.62,16.67,16.62,100.01
10/08/2021,16.61,16.59,0.0,0.0,0.0,0.0,0.33,16.57,16.62,16.67,16.62,100.01
10/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
10/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/15/2021,16.55,16.52,0.0,0.0,0.0,0.0,0.65,16.6,16.55,16.58,16.55,100.0
11/16/2021,16.55,16.52,0.0,0.0,0.0,0.0,0.65,16.6,16.55,16.58,16.55,100.0
11/17/2021,16.55,16.53,0.0,0.0,0.0,0.0,0.65,16.57,16.55,16.57,16.56,99.98
11/18/2021,16.55,16.53,0.0,0.0,0.0,0.0,0.65,16.57,16.55,16.57,16.56,99.98
11/19/2021,16.56,16.54,0.0,0.0,0.0,0.0,0.63,16.56,16.56,16.59,16.56,100.0
11/22/2021,16.56,16.54,0.0,0.0,0.0,0.0,0.63,16.56,16.56,16.59,16.56,100.0
11/23/2021,16.56,16.54,0.0,0.0,0.0,0.0,0.63,16.56,16.56,16.59,16.56,100.0
11/24/2021,16.55,16.54,0.0,0.0,0.0,0.0,0.63,16.56,16.55,16.6,16.56,99.98999999999998
11/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
11/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
12/21/2021,16.56,16.57,0.0,0.0,0.0,0.0,0.48,16.64,16.62,16.56,16.57,100.0
12/22/2021,16.56,16.57,0.0,0.0,0.0,0.0,0.48,16.64,16.62,16.56,16.57,100.0
12/23/2021,16.56,16.6,0.0,0.0,0.0,0.0,0.48,16.59,16.62,16.54,16.61,100.0
12/24/2021,16.57,16.61,0.0,0.0,0.0,0.0,0.47,16.59,16.63,16.52,16.61,100.0
12/27/2021,16.54,16.58,0.0,0.0,0.0,0.0,0.72,16.54,16.58,16.47,16.58,100.01
12/28/2021,16.54,16.58,0.0,0.0,0.0,0.0,0.72,16.54,16.58,16.47,16.58,100.01
12/29/2021,16.54,16.58,0.0,0.0,0.0,0.0,0.72,16.54,16.58,16.47,16.58,100.01
12/30/2021,16.53,16.59,0.0,0.0,0.0,0.0,0.73,16.54,16.57,16.48,16.56,100.0
12/31/2021,16.54,16.59,0.0,0.0,0.0,0.0,0.69,16.56,16.57,16.48,16.58,100.01
01/03/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/03/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/03/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/04/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/05/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/06/2022,16.54,16.6,0.0,0.0,0.0,0.0,0.7,16.51,16.58,16.49,16.59,100.01
01/07/2022,16.53,16.58,0.0,0.0,0.0,0.0,0.75,16.47,16.57,16.53,16.57,100.0
01/10/2022,16.54,16.58,0.0,0.0,0.0,0.0,0.71,16.43,16.58,16.58,16.58,100.0
01/11/2022,16.54,16.58,0.0,0.0,0.0,0.0,0.71,16.43,16.58,16.58,16.58,100.0
01/12/2022,16.54,16.58,0.0,0.0,0.0,0.0,0.71,16.43,16.58,16.58,16.58,100.0
01/13/2022,16.54,16.58,0.0,0.0,0.0,0.0,0.71,16.43,16.58,16.58,16.58,100.0
01/14/2022,16.54,16.58,0.0,0.0,0.0,0.0,0.71,16.43,16.58,16.58,16.58,100.0
01/17/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
01/18/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
01/19/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
01/20/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
01/21/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
01/24/2022,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
