,US Dollar,US LONG BOND(CBT) Sep21,US 5YR NOTE (CBT) Sep21,GNR 2010-61 KE,FHMS K158 A2,T 1.25 05/15/50,FHMS K158 A3,FHMS K156 A3,FNR 2015-66 CL,FNCL 2.5 8/11,GNR 2020-159 Z,FNR 2016-101 ZP,FNR 2020-17 L,FHMS K123 XAM,FHMS K124 XAM,FHMS K120 XAM,FHMS K157 A3,FHMS K109 XAM,FHMS K125 XAM,GNR 2021-28 Z,GNR 2020-145 BD,FG U99176,FHMS K-1510 A2,FNR 2005-74 NZ,FHMS K-1517 X1,GNR 2018-125 KZ,FNR 2012-93 LY,GNR 2018-112 CG,FHMS K-1516 X1,FNR 2018-9 PL,FHMS K156 X1,FHMS K093 XAM,US ULTRA BOND CBT Sep21,GNR 2019-132 NZ,GNR 2020-197 Z,GNR 2020-83 KY,GNR 2009-32 ZA,FHR 3653 UJ,FHR 4980 ZU,FHMS K-1515 X1,FNR 2016-23 PL,FHR 4239 OU,FNR 2018-94 KZ,FNR 2008-94 JS,FNR 2005-113 AI,FHR 4255 SN,GNR 2021-4 Z,FNR 2018-94 LZ,FHMS K095 X1,FHMS K036 X1,FHMS K095 XAM,FHMS K-1510 A3,GNR 2015-168 GI,FNR 2015-34 OK,FHMS K153 A3,FHR 2649 IM,FNR 2005-69 JI,2021-08-27 US LONG BOND(CBT) Sep21 C 165,2021-08-27 US LONG BOND(CBT) Sep21 P 161,2021-08-27 US 10YR NOTE (CBT)Sep21 P 133,2021-08-27 US 5YR NOTE (CBT) Sep21 C 123.25,2021-08-27 US LONG BOND(CBT) Sep21 C 162,2021-08-27 US LONG BOND(CBT) Sep21 C 163,2021-08-27 US LONG BOND(CBT) Sep21 C 164,2021-08-27 US LONG BOND(CBT) Sep21 P 160,US 10yr Ultra Fut Sep21,2021-08-27 US 5YR NOTE (CBT) Sep21 P 124,2021-08-27 US LONG BOND(CBT) Sep21 P 163,2021-08-27 US 5YR NOTE (CBT) Sep21 P 123,2021-08-27 US 5YR NOTE (CBT) Sep21 C 124.50,2021-08-27 US 5YR NOTE (CBT) Sep21 P 123.50,2021-08-27 US 10YR NOTE (CBT)Sep21 P 133.50,2021-08-27 US 10YR NOTE (CBT)Sep21 P 131.50,2021-08-27 US 5YR NOTE (CBT) Sep21 C 124.25,2021-08-27 US 5YR NOTE (CBT) Sep21 C 124.75,2021-08-27 US 10YR NOTE (CBT)Sep21 P 132.50,US 2YR NOTE (CBT) Sep21,2021-08-27 US LONG BOND(CBT) Sep21 P 165,SUM
07/09/2021,26.01,7.57,5.78,4.54,3.62,3.42,3.37,3.31,2.87,2.84,2.13,2.11,1.97,1.97,1.96,1.95,1.94,1.94,1.94,1.92,1.9,1.77,1.69,1.6,1.42,1.32,1.23,1.23,1.22,1.2,1.17,1.12,1.07,1.07,1.06,1.02,0.93,0.9,0.89,0.88,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,-13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.36
07/12/2021,27.8,4.47,8.17,4.54,3.62,3.44,3.36,3.29,2.87,2.84,2.12,2.12,1.98,1.97,1.96,1.95,1.93,1.94,1.94,1.91,1.89,1.74,0.0,1.6,1.43,1.32,1.23,1.23,1.23,1.2,1.18,1.12,0.54,1.07,1.05,1.02,0.93,0.9,0.89,0.89,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-6.93,0.06,0.04,0.02,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.21999999999998
07/13/2021,27.8,4.47,8.17,4.54,3.62,3.44,3.36,3.29,2.87,2.84,2.12,2.12,1.98,1.97,1.96,1.95,1.93,1.94,1.94,1.91,1.89,1.74,0.0,1.6,1.43,1.32,1.23,1.23,1.23,1.2,1.18,1.12,0.54,1.07,1.05,1.02,0.93,0.9,0.89,0.89,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-6.93,0.06,0.04,0.02,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.21999999999998
07/14/2021,27.8,4.47,8.17,4.54,3.62,3.44,3.36,3.29,2.87,2.84,2.12,2.12,1.98,1.97,1.96,1.95,1.93,1.94,1.94,1.91,1.89,1.74,0.0,1.6,1.43,1.32,1.23,1.23,1.23,1.2,1.18,1.12,0.54,1.07,1.05,1.02,0.93,0.9,0.89,0.89,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-6.93,0.06,0.04,0.02,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.21999999999998
07/15/2021,27.8,4.47,8.17,4.54,3.62,3.44,3.36,3.29,2.87,2.84,2.12,2.12,1.98,1.97,1.96,1.95,1.93,1.94,1.94,1.91,1.89,1.74,0.0,1.6,1.43,1.32,1.23,1.23,1.23,1.2,1.18,1.12,0.54,1.07,1.05,1.02,0.93,0.9,0.89,0.89,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-6.93,0.06,0.04,0.02,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.21999999999998
07/16/2021,27.8,4.47,8.17,4.54,3.62,3.44,3.36,3.29,2.87,2.84,2.12,2.12,1.98,1.97,1.96,1.95,1.93,1.94,1.94,1.91,1.89,1.74,0.0,1.6,1.43,1.32,1.23,1.23,1.23,1.2,1.18,1.12,0.54,1.07,1.05,1.02,0.93,0.9,0.89,0.89,0.87,0.69,0.61,0.6,0.53,0.48,0.43,0.32,0.32,0.31,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-6.93,0.06,0.04,0.02,0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.21999999999998
07/19/2021,27.71,5.38,4.07,4.53,3.62,3.47,3.35,3.29,2.88,2.84,2.14,2.13,1.99,1.97,1.96,1.95,1.93,1.93,1.94,1.93,1.91,1.74,0.0,1.6,1.43,1.33,1.23,1.23,1.22,1.2,1.17,1.12,4.34,1.07,1.07,1.02,0.92,0.9,0.89,0.88,0.88,0.7,0.62,0.6,0.53,0.48,0.43,0.33,0.31,0.3,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3,0.06,0.03,0.02,0.01,-0.07,0.1,0.01,0.01,0.01,-0.07,0.0,0.0,99.49000000000002
07/20/2021,27.71,5.83,4.07,4.53,3.62,3.47,3.35,3.29,2.88,2.84,2.15,2.13,1.99,1.97,1.96,1.95,1.93,1.93,1.94,1.93,1.91,1.74,0.0,1.6,1.43,1.33,1.23,1.23,1.22,1.2,1.17,1.12,4.87,1.07,1.07,1.02,0.92,0.9,0.89,0.88,0.88,0.7,0.62,0.6,0.53,0.48,0.44,0.32,0.31,0.3,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.94,0.06,0.03,0.02,0.01,-0.07,0.09,0.01,0.01,0.01,-0.07,0.0,0.0,98.83000000000004
07/21/2021,27.71,5.83,4.07,4.53,3.62,3.47,3.35,3.29,2.88,2.84,2.15,2.13,1.99,1.97,1.96,1.95,1.93,1.93,1.94,1.93,1.91,1.74,0.0,1.6,1.43,1.33,1.23,1.23,1.22,1.2,1.17,1.12,4.87,1.07,1.07,1.02,0.92,0.9,0.89,0.88,0.88,0.7,0.62,0.6,0.53,0.48,0.44,0.32,0.31,0.3,0.3,0.2,0.19,0.18,0.17,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.94,0.06,0.03,0.02,0.01,-0.07,0.09,0.01,0.01,0.01,-0.07,0.0,0.0,98.83000000000004
07/22/2021,30.21,9.98,3.25,4.35,3.49,3.4,3.24,3.18,2.77,2.71,2.13,2.06,1.92,1.88,1.88,1.87,1.86,1.85,1.86,1.92,1.87,1.66,0.0,1.54,1.37,1.28,1.19,1.18,1.18,1.15,1.12,1.07,3.17,1.03,1.06,0.99,0.88,0.87,0.87,0.85,0.84,0.65,0.6,0.57,0.51,0.46,0.44,0.31,0.3,0.29,0.29,0.19,0.18,0.16,0.17,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.17,0.04,0.0,0.01,0.03,-0.04,0.05,0.01,0.03,0.02,-0.04,3.46,0.03,103.71
