,URC.V,URC.V.1,URC.V.2,Six Flags Entertainment Corp. 5.5%,Cedar Fair LP/ Canada's Wonderland Company/ Magnum Management Corporation/,URC.V.3,URC.V.4,URC.V.5,URC.V.6,URC.V.7,URC.V.8,URC.V.9,URC.V.10,URC.V.11,URC.V.12,URC.V.13,URC.V.14,URC.V.15,URC.V.16,URC.V.17,URC.V.18,URC.V.19,URC.V.20,URC.V.21,URC.V.22,URC.V.23,URC.V.24,URC.V.25,URC.V.26,URC.V.27,URC.V.28,URC.V.29,URC.V.30,URC.V.31,URC.V.32,URC.V.33,URC.V.34,URC.V.35,URC.V.36,URC.V.37,URC.V.38,URC.V.39,URC.V.40,URC.V.41,URC.V.42,URC.V.43,URC.V.44,Ally Financial Inc. 5.75%,Sensata Technologies BV 5.62%,Range Resources Corp. 9.25%,Allied Universal Holdco LLC / Allied Universal Finance Corporation 9.75%,JBS USA Lux S A & JBS USA Finance Inc 6.75%,"Sprint Communications, Inc. 6%","TransDigm, Inc. 5.5%","Viking Cruises, Ltd. 7%","Scientific Games International, Inc. 5%","American Builders & Contractors Supply Co., Inc. 4%",Golden Nugget Inc 6.75%,URC.V.45,Majordrive Holdings Iv Llc 6.38%,URC.V.46,URC.V.47,URC.V.48,URC.V.49,URC.V.50,URC.V.51,URC.V.52,URC.V.53,URC.V.54,URC.V.55,URC.V.56,URC.V.57,"Ahern Rentals, Inc. 7.38%",URC.V.58,URC.V.59,URC.V.60,URC.V.61,URC.V.62,URC.V.63,URC.V.64,URC.V.65,URC.V.66,URC.V.67,URC.V.68,URC.V.69,Teva Pharmaceutical Finance Netherlands III B.V. 2%,URC.V.70,ECC,Cash,Cash & Other,Mileage Plus Holdings T/L 6.25% 07/30/2027,Aadvantage Loyalty T/L (American Airlines) (Amr) 5.5% 04/20/2028,Intelsat Jackson T/L B 8% 11/30/2023,Klockner Pentaplast T/L (Kleopatra) 5.25% 02/12/2026,Verscend T/L (2/21) 4.0925% 08/27/2025,Athenahealth T/L B (01/21) 4.35138% 02/11/2026,Madison Iaq T/L 3.75% 06/16/2028,Hd Supply Waterworks T/L 3.75% 08/01/2024,Sophia (Datatel/Ellucian) T/L B (09/20) 4.5% 10/07/2027,Sunshine Luxembourg T/L B-3 (Nestle / Galderma) (3/21) 4.5% 10/01/2026,Delta 2 (Lux) Sarl (Formula One) T/L B 3.5% 02/01/2024,Wirb-Coperncus Group T/L B 5% 12/13/2029,Arches Buyer T/L B 3.75% 12/06/2027,Pregis T/L B 4.0925% 07/31/2026,Deerfield (Duff & Phelps/Dakota Holdings) T/L (2/20) 4.75% 04/09/2027,Diamond Resorts International T/L B (Amend 3) 4.75% 09/01/2023,Natures Bounty T/L (Nbty)(Alphabet) 3.5925% 08/15/2024,Epicor Software T/L B (7/20) 4% 07/30/2027,Gardner Denver T/L B (06/20) 2.8425% 03/01/2027,Dun & Bradstreet T/L (Star Merger) 3.34% 02/06/2026,Graham Packaging T/L (2/21) 3.75% 08/04/2027,Seaworld T/L B5 (02/17) 3.75% 04/01/2024,Charter Communications Operating T/L B2 1.85% 02/01/2027,Scientific Games T/L B 2.8425% 08/14/2024,Csc Holdings T/L B (03/17) 2.3482% 07/17/2025,Proampac Pg Borrower T/L (10/20) (Prolamina) 4.5% 11/03/2025,"Quikrete Holdings, Inc T/L B 2.5925% 11/15/2023",Brand Energy & Infrastructure T/L 5.25% 07/30/2024,Caesars Resort T/L 2.8425% 12/23/2024,Titan Acquisition T/L (Husky Ims) 3.26663% 03/28/2025,Uber Technologies T/L B (2/21) 3.5925% 02/25/2027,Sba Senior Finance Ii T/L B 2018 1.85% 04/30/2025,Clubcorp Club Operations T/L B (8/17) 2.9525% 08/16/2024,Hilton Worldwide Finance T/L B2 1.84163% 06/22/2026,Apex Tool T/L 6.5% 08/01/2024,Tempo Acquisition T/L B (Alight Solutions) 3.75% 11/02/2026,Us Foods T/L B 1.8425% 06/27/2023,Transdigm T/L F (02/20) 2.3425% 12/09/2025,Starfruit Finco T/L B (Akzonobel) 2.8475% 10/01/2025,Usi Incremental T/L 3.2025% 05/16/2024,Valeant Pharmaceuticals T/L B (05/18) 3.0925% 06/02/2025,Level 3 Financing T/L B (11/19) 1.8425% 03/01/2027,1011778 B.C. Unlimited (Burger King/Restaurant Brands) T/L B4 1.8425% 11/13,Dynasty Acquistion Co T/L B (2/20) (Standard Aero) 3.7025% 04/06/2026,Gfl Environmental T/L (12/20) 3.5% 05/30/2025,Ultimate Software T/L 3.8425% 05/04/2026,Diamond T/L (Diversey) 3.18547% 09/06/2024,Traverse Midstream T/L 6.5% 09/27/2024,Applied Systems T/L B (09/17) 3.75108% 09/19/2024,Misys T/L B (Almonde) 4.5% 06/13/2024,Solenis International T/L 4.135% 12/26/2023,Clear Channel Outdoor Holdings T/L B 3.6854% 08/07/2026,U.S. Silica T/L (4/18) 5% 05/01/2025,Hub International T/L B (04/18) 2.92573% 04/18/2025,Ccc Information Services T/L B 4% 04/29/2024,Bombardier Recreational Products T/L B (1/20) 2.0925% 05/24/2027,Gates Global T/L (2/21) 3.5% 03/31/2027,Arch Coal T/L B (02/17) 3.75% 03/07/2024,Plastipak Packaging T/L B (04/18) 2.6% 10/15/2024,Zayo Group Holdings Inc. T/L 3.0925% 03/09/2027,Playa Resorts T/L B 3.75% 04/29/2024,Mcafee T/L B 3.8425% 09/30/2024,Prestige Brands T/L B-4 2.0925% 01/26/2024,Avolon T/L B-3 2.5% 01/15/2025,On Semiconductor T/L B (09/19) 2.0925% 09/18/2026,Dynasty Acquistion T/L (Standard Aero) 2/20 (Cad) 3.7025% 04/01/2026,Reynolds Group T/L (01/17) 2.8425% 02/05/2023,Rexnord T/L (11/19) 1.8425% 08/21/2024,Western Digital Corporation T/L B-4 1.8425% 04/29/2023,Avantor Performance T/L (09/17) 3% 09/16/2024,Applied Systems T/L B (09/17) 3.75% 09/19/2024,Teva Pharmaceutical Finance Netherlands III B.V.,Csc Holdings T/L B (03/17) 2.32288% 07/17/2025,Western Digital Corporation T/L B-4 1.8525% 04/29/2023,Avantor T/L B3 (7/21) 2.5% 11/21/2024,FUN 5.375 04/15/27,Starfruit Finco T/L B (Akzonobel) 2.84338% 10/01/2025,SUM
07/09/2021,3.61,1.68,1.64,1.64,1.62,1.6,1.58,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.46,1.44,1.44,1.38,1.36,1.36,1.3,1.2,1.13,1.05,1.02,0.98,0.9,0.88,0.87,0.87,0.86,0.84,0.82,0.82,0.81,0.81,0.79,0.79,0.79,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.72,0.71,0.7,0.69,0.69,0.67,0.6,0.55,0.55,0.53,0.52,0.51,0.46,0.2,0.14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,0.0,0.0,0.0,1.64,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.88,0.87,0.87,0.87,0.84,0.82,0.82,0.81,0.81,0.79,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.08,0.0,3.82,1.68,1.64,1.6,1.58,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.46,1.44,1.38,1.36,1.36,1.3,1.25,1.2,1.13,1.05,1.02,0.98,0.79,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.69,0.67,0.6,0.55,0.55,0.53,0.52,0.51,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/13/2021,0.0,0.0,0.0,1.64,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.88,0.87,0.87,0.87,0.84,0.82,0.82,0.81,0.81,0.79,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.08,0.0,3.82,1.68,1.64,1.6,1.58,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.46,1.44,1.38,1.36,1.36,1.3,1.25,1.2,1.13,1.05,1.02,0.98,0.79,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.69,0.67,0.6,0.55,0.55,0.53,0.52,0.51,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/14/2021,0.0,0.0,0.0,1.63,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.87,0.87,0.87,0.83,0.82,0.82,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.48,1.68,1.64,1.6,1.58,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.52,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.45,1.44,1.38,1.36,1.32,1.3,1.25,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.46,0.14,0.77,0.2,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,0.0,0.0,0.0,1.64,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.87,0.87,0.87,0.83,0.82,0.82,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.48,1.68,1.64,1.6,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.48,1.45,1.44,1.38,1.36,1.32,1.3,1.24,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.46,0.14,0.77,0.2,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,0.0,0.0,0.0,1.64,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.87,0.87,0.86,0.83,0.82,0.82,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.49,1.68,1.64,1.6,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.48,1.44,1.44,1.38,1.36,1.32,1.3,1.25,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.46,0.14,0.77,0.2,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,0.0,0.0,0.0,1.62,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.86,0.86,0.86,0.83,0.82,0.81,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.51,1.68,1.64,1.6,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,0.0,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.44,1.44,1.38,1.36,1.32,1.3,1.24,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.0,0.0,0.77,0.2,1.52,0.46,0.14,0.0,0.0,99.98
07/20/2021,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.86,0.86,0.86,0.83,0.82,0.81,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.51,1.68,1.64,1.6,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,0.0,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.44,1.44,1.38,1.36,1.32,1.3,1.24,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.0,0.0,0.77,0.2,1.52,0.46,0.14,1.62,0.0,99.98
07/21/2021,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.86,0.86,0.86,0.83,0.81,0.8,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.54,1.68,1.64,1.6,1.57,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,0.0,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.44,1.44,1.38,1.36,1.32,1.3,1.24,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.0,0.0,0.77,0.2,1.51,0.46,0.14,1.61,0.0,99.96
07/22/2021,0.0,0.0,0.0,1.62,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.88,0.86,0.86,0.86,0.83,0.81,0.8,0.81,0.81,0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.54,1.68,1.64,1.6,1.57,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.54,1.54,1.53,1.52,0.0,1.51,1.51,1.51,1.51,1.5,1.5,1.48,1.44,1.44,1.38,1.36,1.32,1.3,1.24,1.2,1.13,1.04,1.02,0.98,0.79,0.78,0.77,0.77,0.0,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.71,0.7,0.69,0.71,0.67,0.0,0.55,0.55,0.53,0.52,0.51,0.0,0.0,0.77,0.2,1.51,0.46,0.14,0.0,0.0,99.96
